"spell","21","['finding']"
"breath holding","13","['sign or symptom']"
"respiratory air","13","['body substance']"
"breath-holding spell","12","['sign or symptom']"
"tantrums","8","['mental or behavioral dysfunction']"
"iron deficiency","4","['disease or syndrome']"
"seizures","2","['finding', 'sign or symptom']"
"consciousness related finding","2","['finding']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"iron deficiency anemia","1","['disease or syndrome']"
"emotional distress","1","['mental or behavioral dysfunction']"
"ask question","1","['finding']"
"heart rate","1","['clinical attribute']"
"apnea","1","['finding', 'pathologic function']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"neurological observations","1","['finding']"
"coloring excipient","1","['pharmacologic substance']"
"calming","1","['biologically active substance', 'therapeutic or preventive procedure']"
"jerky movement","1","['finding']"
"physical findings","1","['finding']"
"iron supplement","1","['pharmacologic substance']"
"acyl-coa thioester hydrolase long-chain 1","1","['enzyme', 'therapeutic or preventive procedure']"
"gasping for breath","1","['sign or symptom']"
"unconscious state","1","['disease or syndrome', 'finding']"
"common cold","1","['disease or syndrome', 'finding']"
"unspecified deficiency anemia","1","['disease or syndrome']"
