"cyprus fever"
"gibraltar fever"
"malta fever"
"mediterranean fever"
"rock fever"
"undulant fever"
"brucellosis","7","['disease or syndrome']"
"fever","4","['finding']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"recurrent disease","1","['disease or syndrome']"
"swelling","1","['finding', 'pathologic function']"
"gland","1","['body part, organ, or organ component']"
"placenta specimen","1","['body substance']"
"serum","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"anorexia","1","['disease or syndrome', 'finding']"
"body weight decreased","1","['finding']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"source","1","['finding']"
"increased sweating","1","['sign or symptom']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"headache","1","['sign or symptom']"
"meningitis","1","['disease or syndrome']"
"spiking temperature","1","['finding']"
"weakness","1","['sign or symptom']"
"back pain","1","['finding', 'sign or symptom']"
"immunoglobulins","1","['pharmacologic substance']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"falls","1","['finding', 'injury or poisoning']"
"antibiotics","1","['antibiotic']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"marrow","1","['body part, organ, or organ component']"
"infective endocarditis","1","['disease or syndrome']"
"cerebrospinal fluid","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"catch - finding of sensory dimension of pain","1","['sign or symptom']"
"chills","1","['sign or symptom']"
"encephalitis","1","['disease or syndrome']"
