"teeth grinding and clenching"
"lithium","225","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","76","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","40","['neoplastic process']"
"rhythm","33","['finding']"
"medical history","26","['finding']"
"js","24","['body part, organ, or organ component']"
"tooth structure","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"histone h3","22","['biologically active substance']"
"bruxism","18","['pathologic function']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"temporomandibular joint dysfunction syndrome","9","['disease or syndrome', 'neoplastic process']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"jaw","7","['body part, organ, or organ component']"
"target lesion identification","7","['diagnostic procedure']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"set of muscles","5","['body part, organ, or organ component']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"foot","5","['body part, organ, or organ component']"
"periodontitis","5","['disease or syndrome']"
"thrombasthenia","4","['disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"tissue damage","4","['injury or poisoning']"
"ear structure","4","['body part, organ, or organ component', 'body substance']"
"date allergenic extract","3","['pharmacologic substance']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"temporomandibular joint disorders","3","['disease or syndrome', 'neoplastic process']"
"anatomic site","3","['body location or region']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"massage therapy","3","['therapeutic or preventive procedure']"
"precipitating factors","3","['clinical attribute']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"observation result","2","['finding']"
"anxiety disorders","2","['finding', 'mental or behavioral dysfunction']"
"bony process","2","['body part, organ, or organ component']"
"trigger point","2","['body location or region']"
"back","2","['body location or region']"
"asleep","2","['finding']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"sleeplessness","2","['finding', 'sign or symptom']"
"prealbumin","2","['biologically active substance']"
"signs and symptoms","2","['sign or symptom']"
"seizures","2","['finding', 'sign or symptom']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"eating disorders","2","['mental or behavioral dysfunction']"
"headache","2","['sign or symptom']"
"formycin triphosphate","2","['pharmacologic substance']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"gingivitis","2","['disease or syndrome']"
"does skip","2","['biologically active substance', 'finding']"
"tooth diseases","2","['disease or syndrome']"
"tension","2","['mental or behavioral dysfunction', 'sign or symptom']"
"educational status","2","['finding', 'individual behavior']"
