"brown lung"
"cotton bract disease"
"cotton worker's lung"
"mill fever"
"lung","6","['body part, organ, or organ component', 'disease or syndrome']"
"byssinosis","6","['disease or syndrome']"
"smoking","3","['hazardous or poisonous substance', 'individual behavior']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"cotton allergenic extract","2","['pharmacologic substance']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"home oxygen","1","['finding']"
"respiratory air","1","['body substance']"
"bronchitis chronic","1","['disease or syndrome']"
"dyspnea","1","['sign or symptom']"
"inhalation therapy","1","['therapeutic or preventive procedure']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"chest x-ray","1","['diagnostic procedure']"
"asthma occupational","1","['disease or syndrome']"
"chest ct","1","['diagnostic procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"bronchodilator agents","1","['pharmacologic substance']"
"chest tightness","1","['sign or symptom']"
"breathing exercises","1","['finding', 'therapeutic or preventive procedure']"
"educational status","1","['finding', 'individual behavior']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"injury due to exposure to external cause","1","['clinical attribute', 'injury or poisoning']"
"face","1","['body location or region', 'disease or syndrome']"
"pulmonary function tests","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"respiratory physiology","1","['organ or tissue function']"
