"carcinoma"
"malignant tumor"
"malignant neoplasms","66","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"anatomic site","7","['body location or region']"
"colonic diseases","6","['disease or syndrome']"
"pharmacotherapy","5","['therapeutic or preventive procedure']"
"colon carcinoma","4","['neoplastic process']"
"carcinoma of lung","4","['neoplastic process']"
"lymphoma","3","['neoplastic process']"
"thyroid carcinoma","2","['neoplastic process']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"tissue growth","2","['organ or tissue function']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"physical findings","2","['finding']"
"breast carcinoma","2","['neoplastic process']"
"malignant neoplasm of skin","2","['neoplastic process']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"malignant neoplasm of lung","2","['neoplastic process']"
"ethanol","2","['organic chemical', 'pharmacologic substance']"
"leukemia","2","['neoplastic process']"
"malignant tumor of colon","2","['neoplastic process']"
"uterine cancer","2","['neoplastic process']"
"malignant neoplasm of testis","2","['neoplastic process']"
"benzene","1","['hazardous or poisonous substance', 'organic chemical']"
"radioisotope function study of liver","1","['diagnostic procedure']"
"constipation","1","['finding', 'sign or symptom']"
"malignant neoplasm of brain","1","['neoplastic process']"
"scanning","1","['diagnostic procedure', 'finding']"
"respiratory air","1","['body substance']"
"poisons","1","['hazardous or poisonous substance']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"life threatening","1","['finding']"
"marrow","1","['body part, organ, or organ component']"
"dyspnea","1","['sign or symptom']"
"body weight decreased","1","['finding']"
"screening for cancer","1","['diagnostic procedure']"
"lymph nodes","1","['body part, organ, or organ component']"
"pancreatic carcinoma","1","['neoplastic process']"
"anatomic node","1","['body part, organ, or organ component']"
"peanut preparation","1","['organic chemical', 'pharmacologic substance']"
"prostate carcinoma","1","['neoplastic process']"
"diarrhea","1","['finding', 'sign or symptom']"
"chest x-ray","1","['diagnostic procedure']"
"treatment options","1","['therapeutic or preventive procedure']"
"toxin","1","['biologically active substance', 'hazardous or poisonous substance']"
"diet good","1","['therapeutic or preventive procedure']"
"ovarian carcinoma","1","['neoplastic process']"
"anorexia","1","['disease or syndrome', 'finding']"
"gland","1","['body part, organ, or organ component']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"influenza","1","['disease or syndrome', 'pharmacologic substance']"
"kidney","1","['body part, organ, or organ component']"
"stomach carcinoma","1","['neoplastic process']"
"night sweats","1","['sign or symptom']"
"renal carcinoma","1","['neoplastic process']"
"malaise","1","['finding', 'sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"testicular dysfunction","1","['disease or syndrome']"
"tobacco","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"colonoscopy","1","['diagnostic procedure']"
"liver function","1","['organ or tissue function']"
"malignant neoplasm of liver","1","['neoplastic process']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
"adverse event associated with death","1","['finding']"
"tumor markers","1","['biologically active substance']"
"hearing examination finding","1","['finding']"
"immune system finding","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"feces","1","['body substance']"
"common cold","1","['disease or syndrome', 'finding']"
"sweat","1","['body substance', 'finding']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"catch - finding of sensory dimension of pain","1","['sign or symptom']"
"obesity","1","['disease or syndrome', 'finding']"
"chills","1","['sign or symptom']"
"cervix carcinoma","1","['neoplastic process']"
