"aphthous ulcer"
"ulcer - aphthous"
"aphthous stomatitis","23","['disease or syndrome']"
"sore to touch","14","['sign or symptom']"
"oral region","10","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"malignant neoplasms","6","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"oral ulcer","4","['disease or syndrome']"
"hypersensitivity","3","['clinical attribute', 'finding', 'pathologic function']"
"exanthema","3","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"fever","3","['finding']"
"vitamins","2","['organic chemical', 'pharmacologic substance']"
"herpes labialis","2","['disease or syndrome']"
"home remedies","2","['therapeutic or preventive procedure']"
"malaise","2","['finding', 'sign or symptom']"
"tooth structure","2","['body part, organ, or organ component']"
"magnesium oxide","2","['inorganic chemical', 'pharmacologic substance']"
"cheek structure","2","['body location or region']"
"milk of magnesia","2","['inorganic chemical', 'pharmacologic substance']"
"fluocinonide","1","['pharmacologic substance']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"drugs non-prescription","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"peroxides","1","['inorganic chemical']"
"hydrogen peroxide","1","['inorganic chemical', 'pharmacologic substance']"
"lidex","1","['pharmacologic substance']"
"bullous lichen planus","1","['disease or syndrome']"
"bacterial infections","1","['disease or syndrome']"
"squamous cell carcinoma","1","['neoplastic process']"
"lymph nodes","1","['body part, organ, or organ component']"
"lichen disease","1","['disease or syndrome']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"mild adverse event","1","['finding']"
"cotton allergenic extract","1","['pharmacologic substance']"
"diarrhea","1","['finding', 'sign or symptom']"
"chlorhexidine gluconate","1","['organic chemical', 'pharmacologic substance']"
"bulla","1","['pathologic function']"
"headache","1","['sign or symptom']"
"erythema multiforme","1","['disease or syndrome']"
"benadryl","1","['organic chemical', 'pharmacologic substance']"
"taking of swab","1","['diagnostic procedure']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"oral candidiasis","1","['disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"drug allergy","1","['disease or syndrome']"
"folic acid/iron","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"food allergy","1","['disease or syndrome']"
"minerals","1","['inorganic chemical']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"vitamin b 12","1","['organic chemical', 'pharmacologic substance']"
"salt water","1","['inorganic chemical']"
"cellulitis","1","['disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"body parts - dental","1","['body part, organ, or organ component']"
"palate soft","1","['body part, organ, or organ component']"
"virus diseases","1","['disease or syndrome']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"dc red no. 8","1","['hazardous or poisonous substance', 'organic chemical']"
"folic acid","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hydrogen homeopathic preparation","1","['inorganic chemical']"
"emotional stress","1","['mental or behavioral dysfunction']"
