"age-related cataract"
"lens opacity"
"eye","17","['body part, organ, or organ component', 'body substance']"
"cataract adverse event","13","['finding']"
"lens diseases","8","['body part, organ, or organ component', 'disease or syndrome']"
"blind vision","2","['disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"eye inflammation","2","['finding']"
"visual impairment","2","['disease or syndrome']"
"back","1","['body location or region']"
"congenital cataract","1","['congenital abnormality']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"diabetic retinopathy","1","['disease or syndrome']"
"diagnostic tests","1","['diagnostic procedure']"
"pallor","1","['finding', 'sign or symptom']"
"mild adverse event","1","['finding']"
"coloring excipient","1","['pharmacologic substance']"
"macular degeneration","1","['disease or syndrome']"
"eye problem","1","['finding']"
"disorder of eye","1","['disease or syndrome']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"early complication","1","['sign or symptom']"
"halos around lights","1","['finding']"
"retinal diseases","1","['disease or syndrome', 'finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"physical findings","1","['finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"falls","1","['finding', 'injury or poisoning']"
"hypermature cataract","1","['disease or syndrome']"
"diabetes","1","['disease or syndrome']"
"dimesna","1","['organic chemical', 'pharmacologic substance']"
"diplopia","1","['disease or syndrome']"
"night blindness","1","['disease or syndrome']"
"glaucoma","1","['disease or syndrome', 'finding']"
"proteins","1","['biologically active substance']"
"abnormal degeneration","1","['pathologic function']"
"fuzzy head","1","['finding']"
"smoke","1","['hazardous or poisonous substance', 'individual behavior']"
"night vision","1","['organ or tissue function']"
"after-cataract","1","['acquired abnormality']"
"other medications","1","['pharmacologic substance']"
