"catheter-associated bacteriuria"
"health care associated uti"
"nosocomial uti"
"urinary tract infection - catheter associated"
"uti - catheter associated"
"urinary bladder","11","['body part, organ, or organ component']"
"urinary tract infection","10","['disease or syndrome']"
"antibiotics","5","['antibiotic']"
"insertion of indwelling urinary catheter","5","['therapeutic or preventive procedure']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"drainage procedure","2","['body substance', 'therapeutic or preventive procedure']"
"fever","2","['finding']"
"tissue damage","2","['injury or poisoning']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"back","1","['body location or region']"
"belly of skeletal muscle","1","['body part, organ, or organ component']"
"extravasation of urine","1","['pathologic function']"
"fungus in medical device environment","1","['finding']"
"ultrasonography","1","['diagnostic procedure']"
"incontinence","1","['disease or syndrome']"
"coloring excipient","1","['pharmacologic substance']"
"urinary tract finding","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"vagina","1","['body part, organ, or organ component', 'disease or syndrome']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"urethra","1","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"hematuria","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"vomiting","1","['body substance', 'finding', 'sign or symptom']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"kidney calculi","1","['disease or syndrome']"
"physical findings","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"prostate","1","['body part, organ, or organ component', 'disease or syndrome']"
"intestines","1","['body part, organ, or organ component']"
"color of urine","1","['finding']"
"bladder spasm","1","['finding', 'sign or symptom']"
"urine discoloration","1","['finding']"
"red blood cells blood product","1","['pharmacologic substance']"
"chills","1","['sign or symptom']"
