"angioma - cherry"
"senile angioma"
"cherry hemangioma","8","['neoplastic process']"
"cherry allergenic extract","6","['pharmacologic substance']"
"angioma","5","['neoplastic process']"
"tissue growth","3","['organ or tissue function']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"cryosurgery","1","['therapeutic or preventive procedure']"
"trunk structure","1","['body location or region']"
"electrosurgery","1","['therapeutic or preventive procedure']"
"burning sensation","1","['sign or symptom']"
"shaving - surgical procedure","1","['therapeutic or preventive procedure']"
"skin growth","1","['organ or tissue function']"
"emotional distress","1","['mental or behavioral dysfunction']"
"physical findings","1","['finding']"
"shave excision","1","['therapeutic or preventive procedure']"
"cauterization - action","1","['therapeutic or preventive procedure']"
