"chest discomfort"
"chest pressure"
"chest tightness"
"chest","19","['body location or region', 'disease or syndrome']"
"heart","10","['body part, organ, or organ component', 'pharmacologic substance']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"angina pectoris","4","['sign or symptom']"
"respiratory air","4","['body substance']"
"observation of attack","4","['finding']"
"blood clot","4","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"shoulder","4","['body location or region']"
"deterioration of status","3","['finding']"
"stomach","3","['body part, organ, or organ component', 'disease or syndrome']"
"jaw","3","['body part, organ, or organ component']"
"bone structure of rib","3","['body part, organ, or organ component']"
"sternum","3","['body part, organ, or organ component']"
"neck","3","['body location or region']"
"upper arm","3","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"myocardial infarction","3","['disease or syndrome', 'finding']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"breathing abnormally deep","2","['sign or symptom']"
"tendon structure","2","['body part, organ, or organ component']"
"inflammation","2","['pathologic function']"
"hypercholesterolemia result","2","['finding']"
"dyspnea","2","['sign or symptom']"
"set of muscles","2","['body part, organ, or organ component']"
"malaise","2","['finding', 'sign or symptom']"
"breast","2","['body part, organ, or organ component']"
"gastroesophageal reflux disease","2","['disease or syndrome', 'finding']"
"phlegm","1","['body substance']"
"fear of pain","1","['mental or behavioral dysfunction']"
"panic attacks","1","['mental or behavioral dysfunction']"
"pleurisy","1","['disease or syndrome']"
"cardiopulmonary","1","['body location or region']"
"ask question","1","['finding']"
"tietze s syndrome","1","['disease or syndrome']"
"heartburn","1","['sign or symptom']"
"aortic bodies","1","['body part, organ, or organ component']"
"esophagus","1","['body part, organ, or organ component', 'disease or syndrome']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"leg","1","['body location or region']"
"spasm","1","['sign or symptom']"
"lung problem","1","['disease or syndrome']"
"swallowing problems","1","['sign or symptom']"
"stretching exercises","1","['therapeutic or preventive procedure']"
"dissection of aorta","1","['disease or syndrome']"
"herpes zoster disease","1","['disease or syndrome', 'virus']"
"antacids","1","['pharmacologic substance']"
"gastritis","1","['disease or syndrome']"
"tissue dissection","1","['therapeutic or preventive procedure']"
"muscle strain","1","['injury or poisoning']"
"source","1","['finding']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"chest pain angina","1","['sign or symptom']"
"pulmonary embolism","1","['disease or syndrome']"
"crushing procedure","1","['therapeutic or preventive procedure']"
"pneumothorax","1","['disease or syndrome', 'finding']"
"triptorelin","1","['pharmacologic substance']"
"does carry","1","['finding']"
"discomfort in chest","1","['sign or symptom']"
"upper abdomen structure","1","['body part, organ, or organ component']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"nausea","1","['finding', 'sign or symptom']"
"cholelithiasis","1","['body substance', 'disease or syndrome']"
"anatomic site","1","['body location or region']"
"gastric ulcer","1","['disease or syndrome', 'finding']"
"left upper arm structure","1","['body part, organ, or organ component']"
"fever","1","['finding']"
"upper back","1","['body location or region']"
"pneumonia","1","['disease or syndrome']"
"cholesterol","1","['biologically active substance']"
"dizziness","1","['finding', 'sign or symptom']"
"severe pain","1","['sign or symptom']"
"bed rest","1","['therapeutic or preventive procedure']"
