"glutamate-induced asthma"
"hot dog headache"
"msg (monosodium glutamate) syndrome"
"sodium glutamate","7","['pharmacologic substance']"
"respiratory air","2","['body substance']"
"dyspnea","2","['sign or symptom']"
"headache","2","['sign or symptom']"
"physical findings","2","['finding']"
"palpitations","2","['finding']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"heart rate","1","['clinical attribute']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"sweating","1","['body substance', 'finding']"
"mild adverse event","1","['finding']"
"chest","1","['body location or region', 'disease or syndrome']"
"acute insulin response","1","['finding']"
"pulmonic sound decrease","1","['finding']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"tachycardia","1","['finding']"
"cardiac pain","1","['sign or symptom']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"esthesia","1","['finding', 'organ or tissue function']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"numbness","1","['finding', 'sign or symptom']"
