"bile duct cancer"
"bile duct structure","8","['body part, organ, or organ component']"
"bile fluid","5","['body substance']"
"cholangiocarcinoma","4","['congenital abnormality', 'disease or syndrome', 'neoplastic process']"
"body parts - canal","4","['body part, organ, or organ component']"
"malignant neoplasms","4","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"icterus","3","['finding', 'pathologic function']"
"support - dental","3","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"duct (organ) structure","3","['body part, organ, or organ component']"
"pharmacotherapy","2","['therapeutic or preventive procedure']"
"cholangiopancreatography magnetic resonance","2","['diagnostic procedure']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"endoscopic retrograde cholangiopancreatography","2","['diagnostic procedure', 'organ or tissue function']"
"neoplasm metastasis","2","['neoplastic process']"
"treatment options","1","['therapeutic or preventive procedure']"
"liver function","1","['organ or tissue function']"
"choice behavior","1","['individual behavior']"
"transplantation of liver","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"back","1","['body location or region']"
"ultrasonography","1","['diagnostic procedure']"
"tissue growth","1","['organ or tissue function']"
"percutaneous transluminal coronary angioplasty","1","['therapeutic or preventive procedure']"
"cholangiography","1","['diagnostic procedure']"
"anorexia","1","['disease or syndrome', 'finding']"
"pulmonary resonance","1","['finding']"
"body weight decreased","1","['finding']"
"placement of stent","1","['therapeutic or preventive procedure']"
"cholangitis sclerosing","1","['disease or syndrome']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"primary sclerosing cholangitis","1","['disease or syndrome']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"inflammation","1","['pathologic function']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"phosphoric monoester hydrolases","1","['enzyme']"
"helminthiasis","1","['disease or syndrome']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"alkaline phosphatase","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"abdomen scan","1","['diagnostic procedure']"
"entire liver","1","['body part, organ, or organ component']"
"ulcerative colitis","1","['disease or syndrome']"
"chills","1","['sign or symptom']"
"hepatic infection","1","['disease or syndrome']"
"choledochal cyst","1","['congenital abnormality']"
"bilirubin level result","1","['laboratory or test result']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"feces","1","['body substance']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
