"cryptogenic chronic liver disease"
"liver cirrhosis"
"liver","22","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"blood vessel","8","['body part, organ, or organ component', 'finding']"
"cirrhosis","7","['disease or syndrome']"
"confusion","6","['finding', 'mental or behavioral dysfunction']"
"body fluids","5","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"veins","4","['body part, organ, or organ component']"
"liver function","4","['organ or tissue function']"
"ethanol","3","['organic chemical', 'pharmacologic substance']"
"eye","3","['body part, organ, or organ component', 'body substance']"
"icterus","3","['finding', 'pathologic function']"
"testis","2","['body part, organ, or organ component', 'disease or syndrome']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"magnetic resonance imaging","2","['diagnostic procedure']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"non-alcoholic fatty liver disease","2","['disease or syndrome']"
"malignant neoplasm of liver","2","['neoplastic process']"
"tissue damage","2","['injury or poisoning']"
"liver damage","2","['pathologic function']"
"fatigue","2","['sign or symptom']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"liver carcinoma","1","['disease or syndrome', 'neoplastic process', 'therapeutic or preventive procedure']"
"rectal hemorrhage","1","['finding', 'pathologic function']"
"influenza","1","['disease or syndrome', 'pharmacologic substance']"
"abdominal mass","1","['finding']"
"hypertension portal","1","['disease or syndrome']"
"abdomen distended","1","['finding']"
"yellow eyes","1","['finding']"
"abnormal bleeding","1","['pathologic function']"
"cicatrix","1","['finding', 'pathologic function']"
"physical findings","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"body parts - canal","1","['body part, organ, or organ component']"
"bile duct structure","1","['body part, organ, or organ component']"
"hepatitis autoimmune","1","['disease or syndrome']"
"abdominal pain","1","['sign or symptom']"
"does talk","1","['finding']"
"hereditary diseases","1","['disease or syndrome']"
"surgical fistula","1","['finding']"
"transplantation of liver","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"pharyngeal hemorrhage","1","['finding']"
"hepatic encephalopathy","1","['disease or syndrome']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"lobar pneumonia","1","['disease or syndrome']"
"albumins","1","['biologically active substance']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"drugs non-prescription","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"encephalopathies","1","['disease or syndrome', 'finding']"
"varicosity","1","['disease or syndrome']"
"nonalcoholic steatohepatitis","1","['disease or syndrome']"
"nausea","1","['finding', 'sign or symptom']"
"small testes","1","['finding']"
"abdominal wall structure","1","['body part, organ, or organ component']"
"breast swelling","1","['finding']"
"decrease in appetite","1","['sign or symptom']"
"hepatorenal syndrome","1","['disease or syndrome']"
"deterioration of status","1","['finding']"
"other disorders of liver","1","['disease or syndrome']"
"level of consciousness","1","['finding']"
"ultrasonography","1","['diagnostic procedure']"
"pulmonary resonance","1","['finding']"
"hepatomegaly","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"blood product","1","['pharmacologic substance']"
"bile duct diseases","1","['disease or syndrome']"
"surgical portosystemic shunt","1","['therapeutic or preventive procedure']"
"vitality","1","['finding']"
"diet good","1","['therapeutic or preventive procedure']"
"antibiotics","1","['antibiotic']"
"albumin level","1","['laboratory or test result']"
"consciousness related finding","1","['finding']"
"intestines","1","['body part, organ, or organ component']"
"excision","1","['therapeutic or preventive procedure']"
"contusions","1","['injury or poisoning']"
"bacterial peritonitis","1","['disease or syndrome']"
"current drinker","1","['individual behavior']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"respiratory air","1","['body substance']"
"kidney","1","['body part, organ, or organ component']"
"leg edema","1","['sign or symptom']"
"pallor","1","['finding', 'sign or symptom']"
"body weight decreased","1","['finding']"
"bleeding tendency","1","['disease or syndrome', 'pathologic function']"
"diarrhea","1","['finding', 'sign or symptom']"
"coloring excipient","1","['pharmacologic substance']"
"prothrombin","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"liver diseases","1","['disease or syndrome']"
"erectile dysfunction","1","['disease or syndrome', 'finding']"
"esophagus and stomach","1","['body part, organ, or organ component']"
"redness","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"hepatic coma","1","['disease or syndrome']"
"fever","1","['finding']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"alcohol consumption","1","['individual behavior']"
"hand","1","['body part, organ, or organ component']"
"increased tendency to bruise","1","['finding']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"esophageal varices","1","['acquired abnormality', 'disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"feces","1","['body substance']"
"comatose","1","['congenital abnormality', 'disease or syndrome']"
"breast tissue sample","1","['body part, organ, or organ component']"
"bleeds easily","1","['finding']"
