"cytomegalovirus pneumonia"
"pneumonia - cytomegalovirus"
"cytomegalovirus","22","['therapeutic or preventive procedure', 'virus']"
"pneumonia","8","['disease or syndrome']"
"immune system finding","5","['finding']"
"acquired immunodeficiency syndrome","4","['disease or syndrome']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"malaise","4","['finding', 'sign or symptom']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"respiratory air","2","['body substance']"
"bone marrow transplantation","2","['therapeutic or preventive procedure']"
"cytomegalovirus infections","2","['disease or syndrome']"
"cytomegalovirus retinitis","2","['disease or syndrome']"
"oxygen","2","['pharmacologic substance']"
"transplanted organ","2","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"catch - finding of sensory dimension of pain","1","['sign or symptom']"
"blood transfusion","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"intestinal diseases","1","['disease or syndrome']"
"cytomegalovirus gastroenteritis","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"immunoglobulins","1","['pharmacologic substance']"
"stop medication","1","['therapeutic or preventive procedure']"
"bronchoscopy","1","['diagnostic procedure']"
"congenital cytomegalovirus infection","1","['congenital abnormality']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"cd4 antigens","1","['receptor']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"esophageal diseases","1","['disease or syndrome']"
"anorexia","1","['disease or syndrome', 'finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"dyspnea on exertion","1","['sign or symptom']"
"fever","1","['finding']"
"increased sweating","1","['sign or symptom']"
"kidney","1","['body part, organ, or organ component']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"flatulence","1","['finding', 'sign or symptom']"
"night sweats","1","['sign or symptom']"
"fatigue","1","['sign or symptom']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"ctcae cd4 count","1","['finding']"
"encounter due to being a donor","1","['finding']"
"cytomegalovirus immune globulin","1","['pharmacologic substance']"
"adverse event associated with death","1","['finding']"
"blood gas","1","['organ or tissue function']"
"arthralgia","1","['finding', 'sign or symptom']"
"white blood cell count laboratory result","1","['laboratory or test result']"
"myalgia","1","['finding', 'sign or symptom']"
"antiviral agents","1","['pharmacologic substance']"
"blood product","1","['pharmacologic substance']"
"sweat","1","['body substance', 'finding']"
"veins","1","['body part, organ, or organ component']"
"plain x-ray","1","['diagnostic procedure']"
"globulins","1","['biologically active substance', 'laboratory or test result']"
"low white blood cell count","1","['finding']"
