"aortic coarctation"
"aortic coarctation","19","['congenital abnormality']"
"aorta","14","['body part, organ, or organ component']"
"heart","12","['body part, organ, or organ component', 'pharmacologic substance']"
"arteries","6","['body part, organ, or organ component']"
"pulse rate","5","['clinical attribute']"
"upper arm","4","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"blood vessel","3","['body part, organ, or organ component', 'finding']"
"heart murmur","3","['finding']"
"congenital heart defects","3","['congenital abnormality']"
"balloon dilatation","2","['therapeutic or preventive procedure']"
"aortic aneurysm","2","['disease or syndrome']"
"dissection of aorta","2","['disease or syndrome']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"physical findings","2","['finding']"
"cerebrovascular accident","2","['disease or syndrome', 'therapeutic or preventive procedure']"
"cardiac catheterization procedures","2","['diagnostic procedure']"
"other congenital heart defects","1","['finding']"
"prevention problem","1","['finding']"
"gtpase-activating proteins","1","['biologically active substance']"
"respiratory air","1","['body substance']"
"end-to-end anastomosis","1","['therapeutic or preventive procedure']"
"hereditary diseases","1","['disease or syndrome']"
"angioplasty balloon","1","['therapeutic or preventive procedure']"
"limb structure","1","['body part, organ, or organ component']"
"muscle cramp","1","['sign or symptom']"
"tissue growth","1","['organ or tissue function']"
"mineralocorticoid receptor","1","['disease or syndrome', 'receptor']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"femoral pulse","1","['organ or tissue function']"
"dyspnea","1","['sign or symptom']"
"aortic valve structure","1","['body part, organ, or organ component']"
"failure to thrive","1","['disease or syndrome']"
"inguinal region","1","['body location or region']"
"kidney problem","1","['sign or symptom']"
"cerebral aneurysm","1","['disease or syndrome']"
"chest x-ray","1","['diagnostic procedure']"
"hoarseness","1","['sign or symptom']"
"tissue dissection","1","['therapeutic or preventive procedure']"
"ultrasonography","1","['diagnostic procedure']"
"angiogram","1","['diagnostic procedure']"
"inside the blood vessel","1","['body location or region']"
"bicuspid aortic valve","1","['congenital abnormality']"
"headache","1","['sign or symptom']"
"cold feet","1","['finding']"
"major artery","1","['body part, organ, or organ component']"
"anatomic valve","1","['body part, organ, or organ component']"
"back","1","['body location or region']"
"leg cramps","1","['sign or symptom']"
"aortic rupture","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"dacron","1","['organic chemical']"
"foot","1","['body part, organ, or organ component']"
"poor growth","1","['finding']"
"heart ventricle","1","['body part, organ, or organ component']"
"coronary artery","1","['body part, organ, or organ component']"
"adverse event associated with death","1","['finding']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"echocardiography","1","['diagnostic procedure']"
"heart problem","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"doppler studies","1","['diagnostic procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"aortography","1","['diagnostic procedure']"
"exercise pain management","1","['therapeutic or preventive procedure']"
