"iris douglasiana flower essence","7","['pharmacologic substance']"
"eye","6","['body part, organ, or organ component', 'body substance']"
"pupil","5","['body part, organ, or organ component']"
"hole finding","3","['finding']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"reduced visual acuity","1","['finding']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"back","1","['body location or region']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"visual impairment","1","['disease or syndrome']"
"optic nerve","1","['body part, organ, or organ component', 'disease or syndrome']"
"blurred vision","1","['sign or symptom']"
