"leg","6","['body location or region']"
"set of muscles","5","['body part, organ, or organ component']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"upper arm","4","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"injury wounds","3","['body substance', 'injury or poisoning']"
"casts body substance","3","['biologically active substance', 'body substance']"
"tissue damage","2","['injury or poisoning']"
"anatomical layer","2","['body part, organ, or organ component']"
"dressing self-care","2","['finding', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"affected area","2","['finding']"
"foot","2","['body part, organ, or organ component']"
"prompt","1","['pharmacologic substance']"
"forearm","1","['body part, organ, or organ component']"
"soft tissue injuries","1","['injury or poisoning']"
"limb structure","1","['body part, organ, or organ component']"
"nerve damage","1","['injury or poisoning']"
"physical findings","1","['finding']"
"pallor","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"carney complex type 1","1","['disease or syndrome']"
"fracture","1","['finding', 'injury or poisoning']"
"car accident","1","['injury or poisoning']"
"toes","1","['body part, organ, or organ component']"
"esthesia","1","['finding', 'organ or tissue function']"
"weakness","1","['sign or symptom']"
"pain medicines","1","['pharmacologic substance']"
"hand","1","['body part, organ, or organ component']"
"hypesthesia","1","['finding']"
"skin transplantation","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"incised wound","1","['injury or poisoning']"
"amputation","1","['therapeutic or preventive procedure']"
"numbness","1","['finding', 'sign or symptom']"
"thigh structure","1","['body location or region']"
"accidents","1","['injury or poisoning']"
"muscle function","1","['finding', 'organ or tissue function']"
