"afibrinogenemia","3","['disease or syndrome']"
"blood coagulation","3","['acquired abnormality', 'disease or syndrome', 'finding', 'laboratory or test result', 'organ or tissue function', 'therapeutic or preventive procedure']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"hereditary factor i deficiency disease","2","['disease or syndrome']"
"blood coagulation factor","2","['biologically active substance', 'pharmacologic substance']"
"cord - body parts","2","['body part, organ, or organ component', 'disease or syndrome']"
"physical therapy","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"proteins","1","['biologically active substance']"
"cryoprecipitate","1","['pharmacologic substance']"
"female","1","['finding']"
"inhibitors","1","['chemical viewed functionally']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"bleeding tendency","1","['disease or syndrome', 'pathologic function']"
"bleeding episodes","1","['finding']"
"prothrombin","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"vaccines","1","['pharmacologic substance']"
"fibrinogen level result","1","['laboratory or test result']"
"blood product","1","['pharmacologic substance']"
"plasma","1","['body substance']"
"hepatitis b vaccine","1","['pharmacologic substance']"
"umbilical cord bleeding","1","['pathologic function']"
"dysfibrinogenemia","1","['disease or syndrome']"
"mucous body substance","1","['body substance', 'neoplastic process']"
"riastap","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"spontaneous abortion","1","['disease or syndrome']"
"bleeding time result","1","['laboratory or test result']"
"cause of death","1","['finding', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"adverse event associated with death","1","['finding']"
"gastrointestinal hemorrhage","1","['pathologic function']"
"tt - thrombin time result","1","['laboratory or test result']"
"veins","1","['body part, organ, or organ component']"
"male gender","1","['finding']"
"reptilase","1","['enzyme', 'hazardous or poisonous substance']"
"intracranial hemorrhages","1","['pathologic function']"
