"hereditary spherocytosis"
"spherocytosis"
"spleen","4","['body part, organ, or organ component']"
"red blood cells blood product","4","['pharmacologic substance']"
"mild adverse event","3","['finding']"
"pallor","2","['finding', 'sign or symptom']"
"vaccines","2","['pharmacologic substance']"
"splenectomy","2","['therapeutic or preventive procedure']"
"anatomical layer","1","['body part, organ, or organ component']"
"respiratory air","1","['body substance']"
"production processing id","1","['finding']"
"cholelithiasis","1","['body substance', 'disease or syndrome']"
"icterus","1","['finding', 'pathologic function']"
"hereditary spherocytosis","1","['disease or syndrome']"
"crisis","1","['finding']"
"dyspnea","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"smear test","1","['diagnostic procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"reticulocyte count result","1","['laboratory or test result']"
"lifetime drinking history","1","['enzyme', 'finding']"
"at risk of infection","1","['finding']"
"weakness","1","['sign or symptom']"
"life span","1","['group attribute']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"abnormality of red blood cells","1","['finding']"
"excision","1","['therapeutic or preventive procedure']"
"bilirubin level result","1","['laboratory or test result']"
"anemia hemolytic","1","['disease or syndrome']"
"pneumococcal vaccine","1","['pharmacologic substance']"
"folic acid","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"irritable mood","1","['finding']"
