"allergic dermatitis"
"dermatitis - allergic"
"dermatitis - contact"
"dermatitis","15","['disease or syndrome']"
"contact dermatitis","9","['disease or syndrome']"
"poisons","4","['hazardous or poisonous substance']"
"dermatitis irritant","3","['disease or syndrome']"
"exanthema","3","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"optic atrophy autosomal dominant","2","['disease or syndrome']"
"dermatitis atopic","2","['disease or syndrome']"
"rhus diversiloba flower essence","2","['organic chemical', 'pharmacologic substance']"
"irritants","2","['hazardous or poisonous substance']"
"hair dyes","2","['chemical viewed functionally']"
"hypersensitivity","2","['clinical attribute', 'finding', 'pathologic function']"
"hand","2","['body part, organ, or organ component']"
"patch tests","2","['diagnostic procedure']"
"eyelash","1","['body part, organ, or organ component']"
"ambrosia artemisiifolia homeopathic preparation","1","['organic chemical', 'pharmacologic substance']"
"metals","1","['inorganic chemical']"
"poison ivy dermatitis","1","['disease or syndrome']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"tacrolimus","1","['organic chemical', 'pharmacologic substance']"
"entire head and neck","1","['body location or region']"
"neomycin","1","['antibiotic']"
"allergy testing","1","['diagnostic procedure', 'finding']"
"behaviorial habits","1","['individual behavior']"
"sore to touch","1","['sign or symptom']"
"skin moist","1","['finding']"
"lime extract","1","['inorganic chemical', 'pharmacologic substance']"
"rubber","1","['organic chemical']"
"surgical repair","1","['therapeutic or preventive procedure']"
"photosensitivity of skin","1","['disease or syndrome', 'finding']"
"inflammation","1","['pathologic function']"
"tars","1","['disease or syndrome', 'organic chemical']"
"pesticides","1","['hazardous or poisonous substance']"
"appearance of skin","1","['clinical attribute']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"patchy rash","1","['disease or syndrome']"
"nickel","1","['biologically active substance']"
"burn injury","1","['finding', 'injury or poisoning']"
"integumentary system repair","1","['therapeutic or preventive procedure']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"detergents","1","['chemical viewed functionally']"
"antibiotics","1","['antibiotic']"
"coal tar","1","['organic chemical', 'pharmacologic substance']"
"warm to touch","1","['finding']"
"physical findings","1","['finding']"
"peruvian balsam","1","['organic chemical', 'pharmacologic substance']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"fabric softeners","1","['pharmacologic substance']"
"bulla","1","['pathologic function']"
"latex","1","['organic chemical']"
"skin diseases infectious","1","['disease or syndrome']"
"dermatitis allergic contact","1","['disease or syndrome']"
"skills","1","['individual behavior']"
"face","1","['body location or region', 'disease or syndrome']"
"dental cementum","1","['body part, organ, or organ component']"
"incised wound","1","['injury or poisoning']"
