"craniopharyngioma","5","['neoplastic process']"
"pituitary gland","3","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"hormone abnormality","2","['disease or syndrome', 'finding']"
"tissue growth","2","['organ or tissue function']"
"radiosurgery","2","['therapeutic or preventive procedure']"
"excessive thirst","2","['sign or symptom']"
"physical findings","2","['finding']"
"nausea","2","['finding', 'sign or symptom']"
"optic nerve","2","['body part, organ, or organ component', 'disease or syndrome']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"neoplasms","1","['finding', 'neoplastic process']"
"choice behavior","1","['individual behavior']"
"excessive urination","1","['sign or symptom']"
"hormone production","1","['organ or tissue function']"
"imbalance","1","['sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
"intracranial","1","['body location or region']"
"learning problems","1","['mental or behavioral dysfunction']"
"poor growth","1","['finding']"
"increased thirst","1","['sign or symptom']"
"base of the brain","1","['body part, organ, or organ component']"
"endocrine glands","1","['body part, organ, or organ component']"
"neurological problem","1","['finding']"
"ability to balance","1","['finding']"
"production processing id","1","['finding']"
"treated with","1","['therapeutic or preventive procedure']"
"magnetic resonance imaging","1","['diagnostic procedure']"
