"arias syndrome (type ii crigler-najjar)"
"glucuronyl transferase deficiency (type i crigler-najjar)"
"bilirubin","9","['biologically active substance', 'laboratory or test result', 'organic chemical']"
"icterus","7","['finding', 'pathologic function']"
"tissue damage","5","['injury or poisoning']"
"enzymes","4","['enzyme', 'organic chemical']"
"eye","3","['body part, organ, or organ component', 'body substance']"
"unemployment","2","['finding']"
"brain injuries","2","['injury or poisoning']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"genetic counseling","2","['finding', 'therapeutic or preventive procedure']"
"phototherapy","2","['therapeutic or preventive procedure']"
"total bilirubin level","1","['biologically active substance', 'laboratory or test result', 'organic chemical']"
"deterioration of status","1","['finding']"
"tests and testing","1","['diagnostic procedure']"
"transplantation of liver","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"calcium compounds","1","['inorganic chemical']"
"physical findings","1","['finding']"
"kernicterus","1","['disease or syndrome']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"abnormal color","1","['finding']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"liver damage","1","['pathologic function']"
"yellow discoloration","1","['finding']"
"set of muscles","1","['body part, organ, or organ component']"
"very rare","1","['finding']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"life expectancy","1","['group attribute']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"death in childhood","1","['finding']"
"liver function","1","['organ or tissue function']"
"adverse event associated with death","1","['finding']"
"bilirubin level result","1","['laboratory or test result']"
"gut","1","['body part, organ, or organ component']"
"genetic carriers","1","['finding']"
