"laryngotracheobronchitis - acute"
"spasmodic croup"
"viral croup"
"croup","20","['disease or syndrome']"
"airway structure","5","['body part, organ, or organ component']"
"acute insulin response","4","['finding']"
"dehydration","3","['disease or syndrome', 'finding']"
"adrenal cortex hormones","3","['pharmacologic substance']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"respiratory distress","3","['sign or symptom']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"diphtheria","2","['disease or syndrome']"
"trachea","2","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"lung","2","['body part, organ, or organ component', 'disease or syndrome']"
"barking cough","2","['finding']"
"epiglottis structure","2","['body part, organ, or organ component']"
"antibiotics","2","['antibiotic']"
"stridor","2","['sign or symptom']"
"bacterial tracheitis","2","['disease or syndrome']"
"cardiac arrest","2","['disease or syndrome', 'finding']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"respiratory arrest","2","['pathologic function']"
"oxygen","2","['pharmacologic substance']"
"intercostal retractions","2","['finding']"
"virus diseases","2","['disease or syndrome']"
"vocal cord structure","1","['body part, organ, or organ component']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"agitation","1","['finding', 'sign or symptom']"
"pulmonic sound decrease","1","['finding']"
"epinephrine","1","['diagnostic procedure', 'organic chemical', 'pharmacologic substance']"
"parainfluenza","1","['disease or syndrome']"
"set protein human","1","['biologically active substance']"
"neck x-ray","1","['diagnostic procedure']"
"epiglottitis","1","['disease or syndrome']"
"racepinephrine","1","['organic chemical', 'pharmacologic substance']"
"expiration function","1","['organ or tissue function']"
"prednisone","1","['pharmacologic substance']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"insect sting","1","['injury or poisoning', 'pharmacologic substance']"
"bone structure of rib","1","['body part, organ, or organ component']"
"mild adverse event","1","['finding']"
"labored breathing","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"intubation","1","['therapeutic or preventive procedure']"
"chest","1","['body location or region', 'disease or syndrome']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"vaccines","1","['pharmacologic substance']"
"feeling relief","1","['finding', 'organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"sting injury","1","['injury or poisoning']"
"today","1","['antibiotic', 'organic chemical']"
"respiratory air","1","['body substance']"
"gastroesophageal reflux disease","1","['disease or syndrome', 'finding']"
"respiratory sounds","1","['clinical attribute']"
"larynx","1","['body part, organ, or organ component', 'disease or syndrome']"
"viral croup","1","['disease or syndrome']"
"measles vaccine","1","['pharmacologic substance']"
"antitussive agents","1","['injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"superinfection","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"dexamethasone","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"coloring excipient","1","['pharmacologic substance']"
"spatial guidance for medical procedure","1","['clinical attribute']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"rous sarcoma virus","1","['virus']"
"fever","1","['finding']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"immunization","1","['therapeutic or preventive procedure']"
"common cold","1","['disease or syndrome', 'finding']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"veins","1","['body part, organ, or organ component']"
"fatigue","1","['sign or symptom']"
"irritable mood","1","['finding']"
