"endocarditis (culture-negative)"
"heart","23","['body part, organ, or organ component', 'pharmacologic substance']"
"endocarditis","11","['disease or syndrome']"
"heart valves","9","['body part, organ, or organ component']"
"anatomic valve","8","['body part, organ, or organ component']"
"interventional procedure","5","['diagnostic procedure', 'therapeutic or preventive procedure']"
"antibiotics","4","['antibiotic']"
"subacute bacterial endocarditis","4","['disease or syndrome']"
"congenital heart defects","2","['congenital abnormality']"
"encounter for artificial heart valve","2","['finding']"
"heart murmur","2","['finding']"
"tachycardia","2","['finding']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"echocardiography transesophageal","2","['diagnostic procedure']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"fatigue","2","['sign or symptom']"
"body parts - dental","2","['body part, organ, or organ component']"
"fibrillations","1","['disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"injected substance","1","['pharmacologic substance']"
"heart beat","1","['organ or tissue function']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"heart rate","1","['clinical attribute']"
"esophagus","1","['body part, organ, or organ component', 'disease or syndrome']"
"chest x-ray","1","['diagnostic procedure']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"heart transplantation","1","['therapeutic or preventive procedure']"
"mitral valve insufficiency","1","['diagnostic procedure', 'disease or syndrome']"
"stroke prevention","1","['therapeutic or preventive procedure']"
"medical procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"surgical repair","1","['therapeutic or preventive procedure']"
"patent ductus arteriosus","1","['body part, organ, or organ component', 'congenital abnormality']"
"source","1","['finding']"
"inflammation","1","['pathologic function']"
"chemical probe","1","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"fever","1","['finding']"
"kidney","1","['body part, organ, or organ component']"
"atrial fibrillation","1","['finding', 'pathologic function']"
"abdomen","1","['body location or region']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"tooth abscesses","1","['disease or syndrome']"
"infective endocarditis","1","['disease or syndrome']"
"brain abscess","1","['disease or syndrome']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"fasting","1","['finding']"
"culture-negative endocarditis","1","['disease or syndrome']"
"follow-up status","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"operative surgical procedures","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
"plain x-ray","1","['diagnostic procedure']"
"respiratory tract structure","1","['body part, organ, or organ component']"
"heart atrium","1","['body part, organ, or organ component']"
