"ejaculatory incompetence"
"retarded ejaculation"
"sex - delayed ejaculation"
"ejaculation delayed","5","['pathologic function']"
"stimulation procedure","4","['therapeutic or preventive procedure']"
"neurological observations","3","['finding']"
"sexual intercourse - finding","3","['finding']"
"erotic interest","3","['finding']"
"semen","2","['body substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"penis","2","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"masturbation","2","['individual behavior']"
"tissue damage","1","['injury or poisoning']"
"mental problem","1","['finding']"
"inhibited sexual desire","1","['mental or behavioral dysfunction']"
"guanethidine","1","['organic chemical', 'pharmacologic substance']"
"spinal cord","1","['body part, organ, or organ component', 'disease or syndrome']"
"nerve damage","1","['injury or poisoning']"
"trying to conceive","1","['finding']"
"prozac","1","['organic chemical', 'pharmacologic substance']"
"genitalia","1","['body part, organ, or organ component']"
"nerve problem nos","1","['disease or syndrome']"
"nervous system disorder","1","['disease or syndrome']"
"duct (organ) structure","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"marriage life event","1","['finding']"
"physical findings","1","['finding']"
"behaviorial habits","1","['individual behavior']"
"mellaril","1","['organic chemical', 'pharmacologic substance']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"wet dream","1","['finding']"
