"duhring's disease"
"dermatitis herpetiformis","6","['disease or syndrome']"
"exanthema","4","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"bulla","3","['pathologic function']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"gluten sensitivity","1","['disease or syndrome']"
"buttocks","1","['body location or region']"
"celiac disease","1","['clinical attribute', 'disease or syndrome', 'hazardous or poisonous substance', 'neoplastic process', 'therapeutic or preventive procedure']"
"diet gluten-free","1","['finding']"
"sprue","1","['disease or syndrome']"
"scratch marks","1","['injury or poisoning']"
"intestinal cancer","1","['neoplastic process']"
"elbow","1","['body location or region', 'congenital abnormality']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"prurigo","1","['disease or syndrome']"
"physical findings","1","['finding']"
"dapsone","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
