"diabetes - neuropathy"
"nerve damage - diabetic"
"pharmaceutical preparations","8","['pharmacologic substance']"
"tissue damage","7","['injury or poisoning']"
"diabetes","7","['disease or syndrome']"
"sugars","6","['pharmacologic substance']"
"urinary bladder","6","['body part, organ, or organ component']"
"nerve damage","5","['injury or poisoning']"
"leg","4","['body location or region']"
"finding of blood glucose level","3","['laboratory or test result']"
"upper arm","3","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"angina pectoris","2","['sign or symptom']"
"limb structure","2","['body part, organ, or organ component']"
"hyperglycemia","2","['disease or syndrome']"
"constipation","2","['finding', 'sign or symptom']"
"chest","2","['body location or region', 'disease or syndrome']"
"bone structure of cranium","2","['body part, organ, or organ component']"
"electromyography","2","['diagnostic procedure']"
"observation of attack","2","['finding']"
"stomach","2","['body part, organ, or organ component', 'disease or syndrome']"
"bladder problem","2","['finding']"
"diabetic neuropathies","2","['disease or syndrome']"
"intestines","2","['body part, organ, or organ component']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"vaginal dryness","1","['finding']"
"heartburn","1","['sign or symptom']"
"amphetamine","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"lyrica","1","['organic chemical', 'pharmacologic substance']"
"nerve conduction function","1","['organ or tissue function']"
"heart rate","1","['clinical attribute']"
"vardenafil","1","['organic chemical', 'pharmacologic substance']"
"tadalafil","1","['organic chemical', 'pharmacologic substance']"
"swallowing problems","1","['sign or symptom']"
"cymbalta","1","['organic chemical', 'pharmacologic substance']"
"vertebral column","1","['body part, organ, or organ component']"
"cialis","1","['organic chemical', 'pharmacologic substance']"
"duloxetine","1","['organic chemical', 'pharmacologic substance']"
"diarrhea","1","['finding', 'sign or symptom']"
"viagra","1","['organic chemical', 'pharmacologic substance']"
"hypotension orthostatic","1","['finding']"
"sinequan","1","['organic chemical', 'pharmacologic substance']"
"doxepin","1","['organic chemical', 'pharmacologic substance']"
"cranial nerves","1","['body part, organ, or organ component']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"depakote","1","['pharmacologic substance']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"tegretol","1","['organic chemical', 'pharmacologic substance']"
"tachycardia","1","['finding']"
"set of muscles","1","['body part, organ, or organ component']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"seizures","1","['finding', 'sign or symptom']"
"toes","1","['body part, organ, or organ component']"
"kidney","1","['body part, organ, or organ component']"
"amitriptyline","1","['organic chemical', 'pharmacologic substance']"
"feeling of loss of feeling","1","['sign or symptom']"
"gabapentin","1","['organic chemical', 'pharmacologic substance']"
"pain medicines","1","['pharmacologic substance']"
"brain electrical activity","1","['organ or tissue function']"
"elavil","1","['organic chemical', 'pharmacologic substance']"
"erectile dysfunction","1","['disease or syndrome', 'finding']"
"physical findings","1","['finding']"
"neurontin","1","['organic chemical', 'pharmacologic substance']"
"carbamazepine","1","['organic chemical', 'pharmacologic substance']"
"digested food","1","['body substance']"
"bulla","1","['pathologic function']"
"number of medications","1","['finding']"
"autonomic neuropathy","1","['disease or syndrome']"
"decreased blood flow","1","['pathologic function']"
"sildenafil","1","['organic chemical', 'pharmacologic substance']"
"foot ulcer","1","['acquired abnormality', 'disease or syndrome']"
"levitra","1","['organic chemical', 'pharmacologic substance']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"nerve conduction velocity test","1","['diagnostic procedure', 'finding']"
"nausea and vomiting","1","['sign or symptom']"
"incised wound","1","['injury or poisoning']"
"cardiac conduction","1","['organ or tissue function']"
"reflex action","1","['finding', 'organ or tissue function']"
