"congenital hernia of the diaphragm"
"hernia - diaphragmatic"
"lung","6","['body part, organ, or organ component', 'disease or syndrome']"
"dental caries","4","['disease or syndrome']"
"abdominal organ","3","['body part, organ, or organ component']"
"disease of diaphragm","3","['body part, organ, or organ component', 'disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"tachycardia","2","['finding']"
"tachypnea","2","['sign or symptom']"
"liver","2","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"surgical repair","2","['therapeutic or preventive procedure']"
"diaphragmatic hernia repair","1","['therapeutic or preventive procedure']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"respiratory air","1","['body substance']"
"chest+abdomen","1","['body location or region']"
"bowel sounds","1","['finding']"
"heart rate","1","['clinical attribute']"
"fetal ultrasonography","1","['diagnostic procedure']"
"amniotic fluid","1","['body substance']"
"kidney","1","['body part, organ, or organ component']"
"congenital diaphragmatic hernia","1","['congenital abnormality', 'neoplastic process']"
"touch sensation","1","['organ or tissue function']"
"chest x-ray","1","['diagnostic procedure']"
"cardiopulmonary bypass","1","['therapeutic or preventive procedure']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"stomach and small intestine","1","['body part, organ, or organ component']"
"respiratory sounds","1","['clinical attribute']"
"herniorrhaphy","1","['therapeutic or preventive procedure']"
"abdomen","1","['body location or region']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"liver+spleen","1","['body part, organ, or organ component']"
"palpation","1","['diagnostic procedure']"
"fasting","1","['finding']"
"oxygen","1","['pharmacologic substance']"
"breath sound absence","1","['finding']"
"absent adverse event","1","['finding']"
"spleen part","1","['body part, organ, or organ component']"
