"dysgraphia"
"written expression disorder"
"dyslexia","2","['mental or behavioral dysfunction']"
"disability","2","['finding']"
"learning disabilities","2","['mental or behavioral dysfunction']"
"expressive language disorder","1","['mental or behavioral dysfunction']"
"skills","1","['individual behavior']"
"expression procedure","1","['therapeutic or preventive procedure']"
"disorder of written expression","1","['mental or behavioral dysfunction']"
"learning disorders","1","['mental or behavioral dysfunction']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"educational status","1","['finding', 'individual behavior']"
"physical findings","1","['finding']"
"learning problems","1","['mental or behavioral dysfunction']"
"low self-esteem","1","['finding']"
"preschool completion","1","['finding']"
