"classical rta"
"renal tubular acidosis - distal"
"renal tubular acidosis type i"
"rta - distal"
"type i rta"
"calcium","6","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"dietary potassium","5","['inorganic chemical']"
"distal renal tubular acidosis","3","['disease or syndrome']"
"kidney calculi","3","['disease or syndrome']"
"electrolyte imbalance","3","['pathologic function']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"muscle cramp","2","['sign or symptom']"
"sodium bicarbonate","2","['organic chemical', 'pharmacologic substance']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"rickets","2","['disease or syndrome']"
"finding of ph","2","['laboratory or test result', 'pathologic function']"
"physical findings","1","['finding']"
"bone diseases","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"back","1","['body location or region']"
"amphotericin","1","['antibiotic']"
"heart beat","1","['organ or tissue function']"
"tissue growth","1","['organ or tissue function']"
"heart rate","1","['clinical attribute']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"bicarbonates","1","['inorganic chemical', 'organic chemical', 'pharmacologic substance']"
"finding of potassium level","1","['laboratory or test result']"
"ph normal","1","['finding']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"analgesics","1","['organic chemical', 'pharmacologic substance']"
"urine output increased","1","['finding']"
"depressed level of consciousness","1","['finding']"
"tachycardia","1","['finding']"
"lithium","1","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"respiratory rate","1","['clinical attribute']"
"blood potassium result","1","['laboratory or test result']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"abdomen","1","['body location or region']"
"flatulence","1","['finding', 'sign or symptom']"
"fatigue","1","['sign or symptom']"
"blood gas","1","['organ or tissue function']"
"consciousness related finding","1","['finding']"
"oliguria","1","['sign or symptom']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"potassium citrate","1","['organic chemical', 'pharmacologic substance']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"seizures","1","['finding', 'sign or symptom']"
"metabolic acidosis","1","['pathologic function']"
"ability to balance","1","['finding']"
"low blood potassium level","1","['laboratory or test result']"
"urine volume finding","1","['clinical attribute', 'finding']"
"nephrocalcinosis","1","['disease or syndrome']"
"muscle weakness","1","['sign or symptom']"
"amyloidosis","1","['disease or syndrome']"
"calcification","1","['finding', 'organ or tissue function']"
"osteomalacia","1","['disease or syndrome']"
