"hypertension - medication related"
"hypertensive disease","17","['biologically active substance', 'disease or syndrome', 'finding']"
"pharmaceutical preparations","11","['pharmacologic substance']"
"blood vessel","8","['body part, organ, or organ component', 'finding']"
"pharmacologic substance","3","['pharmacologic substance', 'therapeutic or preventive procedure']"
"ethanol","3","['organic chemical', 'pharmacologic substance']"
"tissue damage","3","['injury or poisoning']"
"kidney","3","['body part, organ, or organ component']"
"blood pressure measurements","2","['diagnostic procedure']"
"calcium channel blockers","2","['pharmacologic substance']"
"angiotensin-converting enzyme inhibitors","2","['pharmacologic substance']"
"bleomycin/cisplatin protocol","2","['therapeutic or preventive procedure']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"nausea and vomiting","2","['sign or symptom']"
"essential hypertension","2","['disease or syndrome']"
"sodium chloride","2","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"cold and cough","2","['organic chemical', 'pharmacologic substance']"
"secondary hypertension","2","['disease or syndrome']"
"fatigue","2","['sign or symptom']"
"common cold","2","['disease or syndrome', 'finding']"
"tricyclic antidepressive agents","1","['pharmacologic substance']"
"arteries","1","['body part, organ, or organ component']"
"asthma","1","['disease or syndrome']"
"increased sweating","1","['sign or symptom']"
"sodium glutamate","1","['pharmacologic substance']"
"peptidyl-dipeptidase a","1","['enzyme', 'therapeutic or preventive procedure']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"diastolic blood pressure","1","['clinical attribute', 'diagnostic procedure', 'finding']"
"physical findings","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"tremor muscle","1","['sign or symptom']"
"angiotensin receptor antagonists","1","['pharmacologic substance']"
"hypertension untreated","1","['finding']"
"heart beat","1","['organ or tissue function']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"myocardial infarction","1","['disease or syndrome', 'finding']"
"aldosterone","1","['pharmacologic substance']"
"heart valves","1","['body part, organ, or organ component']"
"doxazosin","1","['organic chemical', 'pharmacologic substance']"
"oral contraception","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"heart failure","1","['disease or syndrome']"
"headache severe","1","['sign or symptom']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"systolic pressure","1","['clinical attribute', 'diagnostic procedure']"
"sodium intake","1","['clinical attribute']"
"tranylcypromine","1","['organic chemical', 'pharmacologic substance']"
"sweat","1","['body substance', 'finding']"
"erythropoietin","1","['pharmacologic substance']"
"ecstasy - drug","1","['congenital abnormality', 'disease or syndrome', 'hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"nasal decongestants","1","['organic chemical', 'pharmacologic substance']"
"prehypertension","1","['disease or syndrome']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"prazosin","1","['organic chemical', 'pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"amphetamines","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"heart dimension/size","1","['finding']"
"observation of attack","1","['finding']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"respiratory air","1","['body substance']"
"blind vision","1","['disease or syndrome']"
"estrogens","1","['pharmacologic substance']"
"redness","1","['finding']"
"pallor","1","['finding', 'sign or symptom']"
"body weight decreased","1","['finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"chest","1","['body location or region', 'disease or syndrome']"
"recreational drugs","1","['hazardous or poisonous substance']"
"other drugs","1","['pharmacologic substance']"
"neurological observations","1","['finding']"
"sodium salts","1","['inorganic chemical', 'pharmacologic substance']"
"sodium bicarbonate","1","['organic chemical', 'pharmacologic substance']"
"diabetes","1","['disease or syndrome']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"enzymes","1","['enzyme', 'organic chemical']"
"increase in blood pressure","1","['disease or syndrome', 'finding']"
"rebound hypertension","1","['disease or syndrome']"
