"skin - dry"
"winter itch"
"acute insulin response","3","['finding']"
"bathing","2","['finding', 'therapeutic or preventive procedure']"
"dry skin","2","['finding', 'pharmacologic substance', 'sign or symptom']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"gentle","1","['organic chemical', 'pharmacologic substance']"
"eczema","1","['disease or syndrome']"
"localized desquamation","1","['finding', 'pathologic function']"
"sweating","1","['body substance', 'finding']"
"skin moist","1","['finding']"
"pruritus","1","['sign or symptom']"
"precipitating factors","1","['clinical attribute']"
"cleanser","1","['pharmacologic substance']"
"petroleum","1","['organic chemical', 'pharmacologic substance']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"cortisone","1","['pharmacologic substance']"
"both legs","1","['body part, organ, or organ component']"
"leg","1","['body location or region']"
"abdomen","1","['body location or region']"
"hand","1","['body part, organ, or organ component']"
"detergents","1","['chemical viewed functionally']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"face","1","['body location or region', 'disease or syndrome']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"thigh structure","1","['body location or region']"
"petrolatum","1","['organic chemical', 'pharmacologic substance']"
"incised wound","1","['injury or poisoning']"
"pheromone","1","['biologically active substance']"
