"icterus","7","['finding', 'pathologic function']"
"bilirubin","5","['biologically active substance', 'laboratory or test result', 'organic chemical']"
"physical findings","1","['finding']"
"coproporphyrins","1","['biologically active substance', 'organic chemical']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"gallbladder","1","['body part, organ, or organ component', 'disease or syndrome']"
"serum","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"oral contraception","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"mild adverse event","1","['finding']"
"duct (organ) structure","1","['body part, organ, or organ component']"
"bile fluid","1","['body substance']"
"very rare","1","['finding']"
"finding of liver enzyme levels","1","['laboratory or test result']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"liver function","1","['organ or tissue function']"
"bile duct structure","1","['body part, organ, or organ component']"
"enzymes","1","['enzyme', 'organic chemical']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"finding of enzyme level","1","['laboratory or test result']"
"red blood cells blood product","1","['pharmacologic substance']"
"encounter due to puberty","1","['finding']"
