"fingers","7","['body location or region']"
"contracture","4","['acquired abnormality']"
"palm of hand","3","['body location or region']"
"physical therapy exercises","3","['therapeutic or preventive procedure']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"injection procedure","1","['therapeutic or preventive procedure']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"collagenase","1","['enzyme', 'pharmacologic substance']"
"tendon structure","1","['body part, organ, or organ component']"
"alcoholic intoxication chronic","1","['mental or behavioral dysfunction']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"fourth finger","1","['body part, organ, or organ component']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"cicatrix","1","['finding', 'pathologic function']"
"nodule","1","['acquired abnormality', 'body part, organ, or organ component']"
"physical findings","1","['finding']"
"adverse effects","1","['finding', 'pathologic function']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"diabetes","1","['disease or syndrome']"
"vascular system injuries","1","['injury or poisoning']"
"scar tissue","1","['finding', 'pathologic function']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
