"e. coli diarrhea"
"food poisoning - e. coli"
"hamburger disease"
"traveler's diarrhea - e. coli"
"diarrhea","10","['finding', 'sign or symptom']"
"food poisoning","4","['injury or poisoning']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"fever","4","['finding']"
"hand","3","['body part, organ, or organ component']"
"water","3","['inorganic chemical', 'pharmacologic substance']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"muscle strain","2","['injury or poisoning']"
"dehydration","2","['disease or syndrome', 'finding']"
"feces","2","['body substance']"
"nausea control","1","['pharmacologic substance']"
"bloody diarrhea","1","['disease or syndrome']"
"kidney","1","['body part, organ, or organ component']"
"anorexia","1","['disease or syndrome', 'finding']"
"traveler s diarrhea","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"contusions","1","['injury or poisoning']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"chicken allergenic extract","1","['pharmacologic substance']"
"flatulence","1","['finding', 'sign or symptom']"
"erythema","1","['sign or symptom']"
"physical findings","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"fish extract","1","['organic chemical']"
"handling","1","['finding']"
"enteritis","1","['disease or syndrome']"
"dizziness","1","['finding', 'sign or symptom']"
"anemia severe","1","['disease or syndrome']"
"nausea and vomiting","1","['sign or symptom']"
