"bleeding from ear"
"drainage from the ear"
"ear bleeding"
"otorrhea"
"ear structure","12","['body part, organ, or organ component', 'body substance']"
"body fluid discharge","9","['body substance', 'therapeutic or preventive procedure']"
"tympanic membrane structure","5","['body part, organ, or organ component', 'inorganic chemical', 'pharmacologic substance']"
"drainage procedure","3","['body substance', 'therapeutic or preventive procedure']"
"otorrhea","3","['finding']"
"headache","2","['sign or symptom']"
"fever","2","['finding']"
"waxes","2","['biologically active substance']"
"earwax","2","['body substance', 'inorganic chemical', 'pharmacologic substance']"
"ear drainage","2","['therapeutic or preventive procedure']"
"hearing examination finding","1","['finding']"
"ask question","1","['finding']"
"eczema","1","['disease or syndrome']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"redness","1","['finding']"
"pruritus","1","['sign or symptom']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"blood in/from ear","1","['pathologic function']"
"hearing impairment","1","['disease or syndrome', 'finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"antibiotics","1","['antibiotic']"
"disorder of middle ear","1","['disease or syndrome']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
