"cerumen impaction"
"ear blockage"
"ear impaction"
"ear structure","32","['body part, organ, or organ component', 'body substance']"
"waxes","19","['biologically active substance']"
"water","6","['inorganic chemical', 'pharmacologic substance']"
"earwax","6","['body substance', 'inorganic chemical', 'pharmacologic substance']"
"hearing examination finding","4","['finding']"
"deafness","4","['disease or syndrome', 'finding']"
"gland","2","['body part, organ, or organ component']"
"tympanic membrane structure","2","['body part, organ, or organ component', 'inorganic chemical', 'pharmacologic substance']"
"mineral oil","2","['pharmacologic substance']"
"irrigation","1","['therapeutic or preventive procedure']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"hearing loss partial","1","['disease or syndrome', 'finding']"
"commercial oils","1","['organic chemical']"
"external ear","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"set protein human","1","['biologically active substance']"
"fever","1","['finding']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"hair follicle structure","1","['body part, organ, or organ component']"
"esthesia","1","['finding', 'organ or tissue function']"
"fingers","1","['body location or region']"
"baby oil","1","['clinical drug', 'organic chemical', 'pharmacologic substance']"
"does clean own teeth","1","['finding']"
"dizziness or vertigo","1","['sign or symptom']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"tooth structure","1","['body part, organ, or organ component']"
"body parts - canal","1","['body part, organ, or organ component']"
"hole finding","1","['finding']"
