"eyelid structure","3","['body part, organ, or organ component']"
"corneal ulcer","2","['acquired abnormality', 'disease or syndrome']"
"tears - specimentype","2","['body substance']"
"redness","2","['finding']"
"corneal abrasions","2","['injury or poisoning']"
"tears artificial","2","['pharmacologic substance']"
"excessive tearing","2","['disease or syndrome', 'sign or symptom']"
"cornea","1","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"chronic conjunctivitis","1","['disease or syndrome']"
"scar tissue","1","['finding', 'pathologic function']"
"eye infections","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"photophobia","1","['sign or symptom']"
"burn injury","1","['finding', 'injury or poisoning']"
"superficial abrasion","1","['injury or poisoning']"
"cicatrix","1","['finding', 'pathologic function']"
"physical findings","1","['finding']"
"facial paralysis","1","['disease or syndrome']"
"bony process","1","['body part, organ, or organ component']"
"paralysed","1","['finding']"
"lower eyelid","1","['body part, organ, or organ component']"
