"incontinence - stool"
"soiling"
"feces","11","['body substance']"
"intestines","6","['body part, organ, or organ component']"
"fecal impaction","5","['body substance', 'finding']"
"functional encopresis","4","['mental or behavioral dysfunction']"
"loss of self-esteem","2","['finding']"
"chronic constipation","2","['sign or symptom']"
"behaviorial habits","2","['individual behavior']"
"fecal incontinence","2","['disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"colonic diseases","2","['disease or syndrome']"
"educational status","1","['finding', 'individual behavior']"
"bulky stools","1","['sign or symptom']"
"stools hard","1","['finding']"
"radiography abdominal","1","['diagnostic procedure']"
"extravasation","1","['injury or poisoning', 'pathologic function']"
"fiber","1","['organic chemical', 'pharmacologic substance']"
"biofeedback","1","['therapeutic or preventive procedure']"
"emotional disturbances","1","['mental or behavioral dysfunction']"
"malaise","1","['finding', 'sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"rectum","1","['body part, organ, or organ component', 'disease or syndrome']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"fluid intake","1","['clinical attribute']"
"psychiatric assessment","1","['diagnostic procedure']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"stool softener","1","['organic chemical', 'pharmacologic substance']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"very large","1","['finding']"
"laxatives","1","['pharmacologic substance']"
"low self-esteem","1","['finding']"
"psychotherapy","1","['therapeutic or preventive procedure']"
"mineral oil","1","['pharmacologic substance']"
