"endometritis","13","['disease or syndrome']"
"uterus","6","['body part, organ, or organ component', 'disease or syndrome']"
"malaise","5","['finding', 'sign or symptom']"
"antibiotics","4","['antibiotic']"
"body fluid discharge","3","['body substance', 'therapeutic or preventive procedure']"
"sexually transmitted diseases","3","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"cesarean section","2","['therapeutic or preventive procedure']"
"pelvic infection","2","['disease or syndrome']"
"cervix uteri","2","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"acute salpingitis","2","['disease or syndrome']"
"spontaneous abortion","2","['disease or syndrome']"
"unspecified abortion","2","['finding']"
"intestines","2","['body part, organ, or organ component']"
"uterine cervicitis","1","['disease or syndrome']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"septicemia","1","['disease or syndrome', 'finding', 'pathologic function']"
"uterine abscess","1","['disease or syndrome']"
"pelvic peritonitis","1","['disease or syndrome']"
"endometrium","1","['body part, organ, or organ component', 'body substance']"
"bowel sounds","1","['finding']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"constipation","1","['finding', 'sign or symptom']"
"lower abdomen","1","['body location or region']"
"pelvic viscus","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"pathologic cervical discharge","1","['finding', 'pathologic function']"
"inflammation","1","['pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"gynecological procedures","1","['therapeutic or preventive procedure']"
"abnormal vaginal bleeding","1","['finding']"
"fever","1","['finding']"
"sexual intercourse - finding","1","['finding']"
"hysteroscopy","1","['diagnostic procedure']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"abnormal bleeding","1","['pathologic function']"
"bleeding of vagina","1","['finding', 'pathologic function']"
"veins","1","['body part, organ, or organ component']"
"extended rotated sidebent","1","['clinical attribute', 'disease or syndrome', 'finding']"
"acute cervicitis","1","['disease or syndrome']"
"abdomen distended","1","['finding']"
"prolonged labor","1","['pathologic function']"
"endometriosis site unspecified","1","['disease or syndrome']"
"infertility","1","['diagnostic procedure', 'disease or syndrome']"
"sterility","1","['pathologic function']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"laparoscopy","1","['congenital abnormality', 'diagnostic procedure']"
"vaginal discharge","1","['finding']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"gonorrhea","1","['disease or syndrome']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
