"enteritis","9","['disease or syndrome']"
"diarrhea","5","['finding', 'sign or symptom']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"dehydration","4","['disease or syndrome', 'finding']"
"inflammation","3","['pathologic function']"
"food poisoning","2","['injury or poisoning']"
"intestines small","2","['body part, organ, or organ component', 'disease or syndrome']"
"enteric campylobacteriosis","2","['disease or syndrome']"
"hand","2","['body part, organ, or organ component']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"feces","2","['body substance']"
"rehydration","1","['therapeutic or preventive procedure']"
"tissue damage","1","['injury or poisoning']"
"fever","1","['finding']"
"ibuprofen","1","['organic chemical', 'pharmacologic substance']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"anorexia","1","['disease or syndrome', 'finding']"
"salmonella infections","1","['disease or syndrome', 'injury or poisoning']"
"bacterial gastroenteritis","1","['disease or syndrome']"
"antidiarrheals","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"source","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"salmonella food poisoning","1","['disease or syndrome', 'injury or poisoning']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"chicken allergenic extract","1","['pharmacologic substance']"
"shigella infections","1","['disease or syndrome']"
"veins","1","['body part, organ, or organ component']"
"tract","1","['body part, organ, or organ component']"
"large intestine","1","['body part, organ, or organ component']"
"naproxen sodium","1","['organic chemical', 'pharmacologic substance']"
"colitis","1","['disease or syndrome', 'finding']"
"nausea","1","['finding', 'sign or symptom']"
"electrolyte soln oral","1","['clinical drug']"
"handling","1","['finding']"
"radiation enteritis","1","['injury or poisoning']"
