"epididymitis","13","['disease or syndrome']"
"testis","6","['body part, organ, or organ component', 'disease or syndrome']"
"multiple endocrine neoplasia","4","['antibiotic', 'neoplastic process', 'organic chemical']"
"inguinal region","3","['body location or region']"
"epididymis","3","['body part, organ, or organ component', 'disease or syndrome']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"prostate","3","['body part, organ, or organ component', 'disease or syndrome']"
"mass of body structure","3","['finding']"
"anatomic node","2","['body part, organ, or organ component']"
"urethra","2","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"antibiotics","2","['antibiotic']"
"amiodarone","2","['organic chemical', 'pharmacologic substance']"
"penis","2","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"spermatic cord torsion","2","['disease or syndrome']"
"specimen type - fistula","2","['body substance']"
"testicular dysfunction","2","['disease or syndrome']"
"gonorrhea","2","['disease or syndrome']"
"testicular infarction","1","['disease or syndrome']"
"physical findings","1","['finding']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"abscess","1","['disease or syndrome', 'pathologic function']"
"scrotal fistula","1","['disease or syndrome']"
"no swelling","1","['finding']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"ultrasonography","1","['diagnostic procedure']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"semen","1","['body substance']"
"sore to touch","1","['sign or symptom']"
"urinary tract","1","['body part, organ, or organ component']"
"swollen groin","1","['finding']"
"infertility","1","['diagnostic procedure', 'disease or syndrome']"
"ice","1","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"visual analog pain scale","1","['diagnostic procedure']"
"inflammation","1","['pathologic function']"
"reduction - action","1","['therapeutic or preventive procedure']"
"lower abdomen","1","['body location or region']"
"sexual intercourse - finding","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"vas deferens structure","1","['body part, organ, or organ component']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"urinary bladder","1","['body part, organ, or organ component']"
"swelling of scrotum","1","['sign or symptom']"
"bed rest","1","['therapeutic or preventive procedure']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"doppler studies","1","['diagnostic procedure']"
"intestines","1","['body part, organ, or organ component']"
"adverse event associated with death","1","['finding']"
"lymph nodes","1","['body part, organ, or organ component']"
"massage therapy","1","['therapeutic or preventive procedure']"
"tributyrin","1","['disease or syndrome', 'pharmacologic substance']"
"chronic epididymitis","1","['disease or syndrome']"
"malaise","1","['finding', 'sign or symptom']"
"chills and fever","1","['sign or symptom']"
"treated with","1","['therapeutic or preventive procedure']"
