"erectile dysfunction"
"impotence"
"sexual dysfunction - male"
"penile erection","26","['organ or tissue function']"
"pharmaceutical preparations","16","['pharmacologic substance']"
"multiple endocrine neoplasia","11","['antibiotic', 'neoplastic process', 'organic chemical']"
"penis","8","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"blood vessel","6","['body part, organ, or organ component', 'finding']"
"male gender","6","['finding']"
"sexual intercourse - finding","5","['finding']"
"does talk","4","['finding']"
"ethanol","3","['organic chemical', 'pharmacologic substance']"
"injection procedure","2","['therapeutic or preventive procedure']"
"nitroglycerin","2","['organic chemical', 'pharmacologic substance']"
"anxiety disorders","2","['finding', 'mental or behavioral dysfunction']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"phosphodiesterase 5 inhibitor","2","['pharmacologic substance']"
"inhibitors","2","['chemical viewed functionally']"
"treatment options","2","['therapeutic or preventive procedure']"
"today","2","['antibiotic', 'organic chemical']"
"exercise pain management","2","['therapeutic or preventive procedure']"
"observation of attack","2","['finding']"
"cardiac arrhythmia","2","['finding', 'pathologic function']"
"heart problem","2","['sign or symptom']"
"urethra","2","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"neurological observations","2","['finding']"
"erectile dysfunction","2","['disease or syndrome', 'finding']"
"diabetes","2","['disease or syndrome']"
"stress","2","['finding', 'organic chemical', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"energy level","1","['finding']"
"psychometrics","1","['diagnostic procedure']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"kegel exercises","1","['therapeutic or preventive procedure']"
"nocturnal penile tumescence","1","['diagnostic procedure']"
"viagra","1","['organic chemical', 'pharmacologic substance']"
"vardenafil","1","['organic chemical', 'pharmacologic substance']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"poor communication","1","['finding']"
"alprostadil","1","['pharmacologic substance']"
"sexually transmitted diseases","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"premature ejaculation","1","['mental or behavioral dysfunction']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"nicotine","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"penile implantation","1","['therapeutic or preventive procedure']"
"prostate-specific antigen","1","['enzyme', 'neoplastic process']"
"abdominal pain","1","['sign or symptom']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"prosthesis implantation","1","['therapeutic or preventive procedure']"
"back","1","['body location or region']"
"worried","1","['finding']"
"cyclic nucleotide phosphodiesterases type 5","1","['enzyme']"
"fear and anxiety","1","['mental or behavioral dysfunction']"
"levitra","1","['organic chemical', 'pharmacologic substance']"
"male infertility","1","['disease or syndrome']"
"heart beat","1","['organ or tissue function']"
"spinal cord","1","['body part, organ, or organ component', 'disease or syndrome']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"peptic ulcer","1","['disease or syndrome']"
"diet good","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"vitality","1","['finding']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"rectum","1","['body part, organ, or organ component', 'disease or syndrome']"
"testosterone level result","1","['laboratory or test result']"
"muscle rigidity","1","['sign or symptom']"
"sildenafil","1","['organic chemical', 'pharmacologic substance']"
"treated with","1","['therapeutic or preventive procedure']"
"tissue damage","1","['injury or poisoning']"
"angina pectoris","1","['sign or symptom']"
"very low","1","['finding']"
"angina unstable","1","['disease or syndrome']"
"tadalafil","1","['organic chemical', 'pharmacologic substance']"
"nerve damage","1","['injury or poisoning']"
"implantation procedure","1","['therapeutic or preventive procedure']"
"antidepressive agents","1","['pharmacologic substance']"
"nervous system disorder","1","['disease or syndrome']"
"rubber","1","['organic chemical']"
"digoxin","1","['pharmacologic substance']"
"recreational drugs","1","['hazardous or poisonous substance']"
"multiple sclerosis","1","['body part, organ, or organ component', 'disease or syndrome', 'finding']"
"prostate","1","['body part, organ, or organ component', 'disease or syndrome']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"cialis","1","['organic chemical', 'pharmacologic substance']"
