"diffuse esophageal spasm"
"spasm of the esophagus"
"esophageal spasm","7","['disease or syndrome']"
"esophageal diseases","6","['disease or syndrome']"
"angina pectoris","2","['sign or symptom']"
"nitroglycerin","2","['organic chemical', 'pharmacologic substance']"
"esophagus","2","['body part, organ, or organ component', 'disease or syndrome']"
"stomach","2","['body part, organ, or organ component', 'disease or syndrome']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"nortriptyline","1","['organic chemical', 'pharmacologic substance']"
"esophagram","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"antidepressive agents","1","['pharmacologic substance']"
"jaw","1","['body part, organ, or organ component']"
"calcium channel blockers","1","['pharmacologic substance']"
"chest","1","['body location or region', 'disease or syndrome']"
"esophageal manometry","1","['diagnostic procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"trazodone","1","['organic chemical', 'pharmacologic substance']"
"odynophagia","1","['sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"does carry","1","['finding']"
"neck","1","['body location or region']"
"does swallow","1","['finding']"
"barium swallow","1","['diagnostic procedure']"
"dilation procedure","1","['pathologic function', 'therapeutic or preventive procedure']"
"upper abdomen structure","1","['body part, organ, or organ component']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
