"epidural hematoma"
"extradural hematoma"
"brain","15","['body part, organ, or organ component', 'disease or syndrome']"
"hemorrhage","13","['pathologic function', 'therapeutic or preventive procedure']"
"hematoma epidural cranial","11","['injury or poisoning']"
"unconscious state","7","['disease or syndrome', 'finding']"
"bone structure of cranium","6","['body part, organ, or organ component']"
"consciousness related finding","6","['finding']"
"tissue damage","4","['injury or poisoning']"
"adverse event associated with death","4","['finding']"
"blood vessel","3","['body part, organ, or organ component', 'finding']"
"brain injuries","3","['injury or poisoning']"
"skull fractures","3","['injury or poisoning']"
"fracture","3","['finding', 'injury or poisoning']"
"weakness","3","['sign or symptom']"
"dura mater","3","['body part, organ, or organ component']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"prompt","2","['pharmacologic substance']"
"drowsiness","2","['finding']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"dizziness","2","['finding', 'sign or symptom']"
"mannitol","1","['pharmacologic substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"memory loss","1","['mental or behavioral dysfunction', 'sign or symptom']"
"spinal injuries","1","['injury or poisoning']"
"craniotomy","1","['therapeutic or preventive procedure']"
"difficulty walking","1","['finding', 'sign or symptom']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"hydrocephalus normal pressure","1","['disease or syndrome']"
"life support","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"brain edema","1","['disease or syndrome', 'pathologic function']"
"incontinence","1","['disease or syndrome']"
"arteries","1","['body part, organ, or organ component']"
"traffic accidents","1","['injury or poisoning']"
"speech impairment","1","['finding', 'mental or behavioral dysfunction']"
"pupil size","1","['clinical attribute']"
"cat scan of head","1","['diagnostic procedure']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"neck","1","['body location or region']"
"disability","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"drilling - action","1","['therapeutic or preventive procedure']"
"convulsions","1","['sign or symptom']"
"dyspnea","1","['sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"phenytoin","1","['organic chemical', 'pharmacologic substance']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"craniocerebral trauma","1","['injury or poisoning']"
"esthesia","1","['finding', 'organ or tissue function']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"headache severe","1","['sign or symptom']"
"intracranial","1","['body location or region']"
"glycerin","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"saline solution hypertonic","1","['clinical drug', 'disease or syndrome', 'inorganic chemical', 'pharmacologic substance']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"nausea","1","['finding', 'sign or symptom']"
"convulsive seizures","1","['sign or symptom']"
"upper extremity paresis","1","['sign or symptom']"
"safety precautions","1","['therapeutic or preventive procedure']"
"level","1","['pharmacologic substance']"
"paralysed","1","['finding']"
"anticonvulsants","1","['pharmacologic substance']"
"anatomic site","1","['body location or region']"
"numbness","1","['finding', 'sign or symptom']"
"hole finding","1","['finding']"
"comatose","1","['congenital abnormality', 'disease or syndrome']"
"veins","1","['body part, organ, or organ component']"
"memory observations","1","['finding']"
