"facial injury"
"lefort injuries"
"maxillofacial injury"
"midface trauma"
"lithium","213","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","73","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","38","['neoplastic process']"
"rhythm","29","['finding']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"histone h3","20","['biologically active substance']"
"medical history","20","['finding']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"injury wounds","13","['body substance', 'injury or poisoning']"
"maxilla","10","['body location or region', 'body part, organ, or organ component']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"burn injury","7","['finding', 'injury or poisoning']"
"skeletal bone","6","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"foot","5","['body part, organ, or organ component']"
"fracture","5","['finding', 'injury or poisoning']"
"thrombasthenia","4","['disease or syndrome']"
"nose","4","['body part, organ, or organ component', 'disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"eye","4","['body part, organ, or organ component', 'body substance']"
"muscular dystrophy","3","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"date allergenic extract","3","['pharmacologic substance']"
"esthesia","3","['finding', 'organ or tissue function']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"observation result","2","['finding']"
"bony process","2","['body part, organ, or organ component']"
