"deficient or defective apolipoprotein e"
"type iii hyperlipoproteinemia"
"hyperlipoproteinemia type iii","6","['disease or syndrome']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"heart","3","['body part, organ, or organ component', 'pharmacologic substance']"
"triglycerides","3","['biologically active substance']"
"arteries","3","['body part, organ, or organ component']"
"observation of attack","3","['finding']"
"cholesterol level test result","3","['laboratory or test result']"
"angina pectoris","2","['sign or symptom']"
"hypothyroidism","2","['disease or syndrome']"
"apolipoproteins","2","['biologically active substance']"
"lameness","2","['finding']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"coronary artery","2","['body part, organ, or organ component']"
"very low density lipoprotein","2","['biologically active substance']"
"obesity","2","['disease or syndrome', 'finding']"
"deterioration of status","1","['finding']"
"transient ischemic attack","1","['disease or syndrome']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"tendon structure","1","['body part, organ, or organ component']"
"tests and testing","1","['diagnostic procedure']"
"hypercholesterolemia result","1","['finding']"
"knee","1","['body part, organ, or organ component']"
"xanthoma","1","['disease or syndrome']"
"reduction - action","1","['therapeutic or preventive procedure']"
"niacin","1","['organic chemical', 'pharmacologic substance']"
"triglyceride level","1","['laboratory or test result']"
"lower extremity","1","['body location or region']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"angiogram","1","['diagnostic procedure']"
"intermittent claudication","1","['disease or syndrome']"
"gangrene","1","['disease or syndrome']"
"chest pain angina","1","['sign or symptom']"
"gemfibrozil","1","['pharmacologic substance']"
"apolipoprotein e","1","['biologically active substance']"
"atherosclerosis","1","['disease or syndrome']"
"hand","1","['body part, organ, or organ component']"
"cardiovascular complications","1","['pathologic function']"
"low-density lipoproteins","1","['biologically active substance']"
"physical findings","1","['finding']"
"foot","1","['body part, organ, or organ component']"
"eyelid structure","1","['body part, organ, or organ component']"
"stress test","1","['diagnostic procedure']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"decreased blood flow","1","['pathologic function']"
"fenofibrate","1","['organic chemical', 'pharmacologic substance']"
"peripheral artery","1","['body part, organ, or organ component']"
"fatty acid glycerol esters","1","['biologically active substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"limb structure","1","['body part, organ, or organ component']"
