"de toni-fanconi syndrome"
"dehydration","3","['disease or syndrome', 'finding']"
"tissue damage","2","['injury or poisoning']"
"glycogen","2","['biologically active substance']"
"multiple myeloma","2","['neoplastic process']"
"physical findings","2","['finding']"
"cystinosis","2","['disease or syndrome']"
"azathioprine","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"hereditary fructose intolerance syndrome","1","['disease or syndrome']"
"urine amino acid levels result","1","['laboratory or test result']"
"renal tubular acidosis type ii","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"galactosemias","1","['disease or syndrome']"
"metals","1","['inorganic chemical']"
"phosphate ion","1","['inorganic chemical', 'pharmacologic substance']"
"potassium and sodium","1","['inorganic chemical']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"gentamicins","1","['antibiotic', 'congenital abnormality', 'disease or syndrome']"
"mercury","1","['hazardous or poisonous substance']"
"amino acids","1","['biologically active substance', 'disease or syndrome', 'pharmacologic substance']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"osteomalacia","1","['disease or syndrome']"
"transplanted kidney","1","['body part, organ, or organ component', 'finding', 'therapeutic or preventive procedure']"
"magnesium phosphate","1","['inorganic chemical', 'pharmacologic substance']"
"cystine","1","['biologically active substance', 'pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"potassium phosphate","1","['inorganic chemical', 'pharmacologic substance']"
"tetracycline","1","['antibiotic', 'organic chemical', 'pharmacologic substance']"
"cadmium","1","['clinical attribute', 'disease or syndrome', 'hazardous or poisonous substance', 'neoplastic process', 'therapeutic or preventive procedure']"
"rickets","1","['disease or syndrome']"
"galactose","1","['biologically active substance']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"cidofovir","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"transplantation","1","['therapeutic or preventive procedure']"
"muscle weakness","1","['sign or symptom']"
"dietary potassium","1","['inorganic chemical']"
"primary amyloidosis","1","['disease or syndrome']"
"uric acid","1","['biologically active substance', 'organic chemical']"
