"seizure - fever induced"
"fever","20","['finding']"
"seizures","13","['finding', 'sign or symptom']"
"febrile convulsions","9","['disease or syndrome', 'pharmacologic substance']"
"spinal puncture","3","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"tongue","3","['body location or region', 'body part, organ, or organ component']"
"tissue damage","2","['injury or poisoning']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"drowsiness","2","['finding']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"neck","2","['body location or region']"
"brain injuries","2","['injury or poisoning']"
"eyes rolling","1","['sign or symptom']"
"deterioration of status","1","['finding']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"agitation","1","['finding', 'sign or symptom']"
"abnormal movement","1","['disease or syndrome', 'finding']"
"limb structure","1","['body part, organ, or organ component']"
"ibuprofen","1","['organic chemical', 'pharmacologic substance']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"cat scan of head","1","['diagnostic procedure']"
"lumbar region","1","['body location or region']"
"forehead","1","['body location or region', 'finding']"
"brain death","1","['pathologic function']"
"acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"infection of ear","1","['disease or syndrome']"
"nausea","1","['finding', 'sign or symptom']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"tonic-clonic epilepsy","1","['disease or syndrome', 'sign or symptom']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"meningitis","1","['disease or syndrome']"
"moaning","1","['sign or symptom']"
"physical findings","1","['finding']"
"learning problems","1","['mental or behavioral dysfunction']"
"tremor","1","['finding', 'sign or symptom']"
"rectum","1","['body part, organ, or organ component', 'disease or syndrome']"
"adverse event associated with death","1","['finding']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"anatomic site","1","['body location or region']"
"does move","1","['finding']"
"saliva","1","['body substance']"
"common cold","1","['disease or syndrome', 'finding']"
"sedation","1","['sign or symptom', 'therapeutic or preventive procedure']"
"awake","1","['finding']"
