"primary fibrinolysis"
"secondary fibrinolysis"
"blood clot","11","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"fibrin","2","['biologically active substance', 'pharmacologic substance']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"observation of attack","1","['finding']"
"hypoglycemia","1","['disease or syndrome']"
"bony process","1","['body part, organ, or organ component']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"sugars","1","['pharmacologic substance']"
"proteins","1","['biologically active substance']"
"bacterial infections","1","['disease or syndrome']"
"myocardial infarction","1","['disease or syndrome', 'finding']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"exercise pain management","1","['therapeutic or preventive procedure']"
