"influenza a"
"influenza b"
"influenza","36","['disease or syndrome', 'pharmacologic substance']"
"pharmaceutical preparations","7","['pharmacologic substance']"
"fever","7","['finding']"
"nose","5","['body part, organ, or organ component', 'disease or syndrome']"
"pharyngeal structure","4","['body location or region', 'body part, organ, or organ component', 'body substance']"
"lung","3","['body part, organ, or organ component', 'disease or syndrome']"
"common cold","3","['disease or syndrome', 'finding']"
"vaccines","2","['pharmacologic substance']"
"eye","2","['body part, organ, or organ component', 'body substance']"
"sore to touch","2","['sign or symptom']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"coughing","2","['finding', 'sign or symptom']"
"influenza virus vaccine","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"ache","2","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"sore throat","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"antiviral agents","2","['pharmacologic substance']"
"face","2","['body location or region', 'disease or syndrome']"
"pneumonia","2","['disease or syndrome']"
"flu symptoms","1","['disease or syndrome']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"hearing examination finding","1","['finding']"
"cardiopulmonary","1","['body location or region']"
"motrin","1","['organic chemical', 'pharmacologic substance']"
"influenza due to influenza a virus subtype h1n1","1","['disease or syndrome']"
"spraying behavior","1","['mental or behavioral dysfunction']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"ibuprofen","1","['organic chemical', 'pharmacologic substance']"
"tylenol","1","['organic chemical', 'pharmacologic substance']"
"kidney","1","['body part, organ, or organ component']"
"seizures","1","['finding', 'sign or symptom']"
"does throw","1","['finding']"
"test result","1","['finding']"
"sneezing","1","['finding']"
"diarrhea","1","['finding', 'sign or symptom']"
"asthma","1","['disease or syndrome']"
"aspirin","1","['organic chemical', 'pharmacologic substance']"
"dry cough","1","['sign or symptom']"
"flushing","1","['finding', 'sign or symptom']"
"rhinorrhea","1","['disease or syndrome', 'sign or symptom']"
"headache","1","['sign or symptom']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"respiratory abnormality unspecified","1","['sign or symptom']"
"vitality","1","['finding']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"infectious gastroenteritis","1","['disease or syndrome']"
"cough increased","1","['finding']"
"feeling tired","1","['sign or symptom']"
"immune system finding","1","['finding']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"advil","1","['organic chemical', 'pharmacologic substance']"
"catch - finding of sensory dimension of pain","1","['sign or symptom']"
"nausea and vomiting","1","['sign or symptom']"
"chills","1","['sign or symptom']"
"encephalitis","1","['disease or syndrome']"
"current drinker","1","['individual behavior']"
