"body fluids","11","['biologically active substance', 'body substance', 'pharmacologic substance']"
"imbalance","4","['sign or symptom']"
"actual impaired fluid volume","4","['pathologic function']"
"kidney","3","['body part, organ, or organ component']"
"heart","2","['body part, organ, or organ component', 'pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"edema","1","['disease or syndrome', 'finding', 'pathologic function']"
"dehydration","1","['disease or syndrome', 'finding']"
"diarrhea and vomiting","1","['sign or symptom']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"potassium and sodium","1","['inorganic chemical']"
"rid","1","['organic chemical', 'pharmacologic substance']"
"hyponatremia","1","['finding']"
"sweating","1","['body substance', 'finding']"
"hyperkalemia","1","['finding']"
"fluid overload","1","['disease or syndrome', 'pathologic function']"
"fever","1","['finding']"
"hypokalemia","1","['disease or syndrome', 'finding']"
"physical findings","1","['finding']"
"level","1","['pharmacologic substance']"
"dietary potassium","1","['inorganic chemical']"
"blood loss","1","['clinical attribute', 'finding', 'pathologic function']"
