"bulging fontanelles"
"soft spot - bulging"
"brain","6","['body part, organ, or organ component', 'disease or syndrome']"
"bone structure of cranium","5","['body part, organ, or organ component']"
"skeletal bone","4","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"bulging fontanelle","4","['sign or symptom']"
"calming","3","['biologically active substance', 'therapeutic or preventive procedure']"
"swelling","2","['finding', 'pathologic function']"
"back","2","['body location or region']"
"fever","2","['finding']"
"spinal puncture","2","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"normal tissue morphology","2","['finding']"
"edema","1","['disease or syndrome', 'finding', 'pathologic function']"
"posterior pituitary disease","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"lethargy","1","['sign or symptom']"
"diagnostic tests","1","['diagnostic procedure']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"ask question","1","['finding']"
"vagina","1","['body part, organ, or organ component', 'disease or syndrome']"
"lumbar region","1","['body location or region']"
"touch sensation","1","['organ or tissue function']"
"inflammation","1","['pathologic function']"
"occipital region","1","['body location or region', 'body part, organ, or organ component']"
"tension","1","['mental or behavioral dysfunction', 'sign or symptom']"
"meningitis","1","['disease or syndrome']"
"drowsiness","1","['finding']"
"adenohypophyseal diseases","1","['disease or syndrome']"
"mri of head","1","['diagnostic procedure']"
"minerals","1","['inorganic chemical']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"face","1","['body location or region', 'disease or syndrome']"
"dental caries","1","['disease or syndrome']"
"irritable mood","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"encephalitis","1","['disease or syndrome']"
