"soft spot - large"
"lithium","197","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","60","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","36","['neoplastic process']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"medical history","23","['finding']"
"histone h3","22","['biologically active substance']"
"rhythm","21","['finding']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"hepatic","13","['body location or region']"
"surgical margins","13","['body part, organ, or organ component']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"foot","5","['body part, organ, or organ component']"
"large fontanels","5","['finding']"
"thrombasthenia","4","['disease or syndrome']"
"alanine transaminase","4","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"bone structure of cranium","4","['body part, organ, or organ component']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"date allergenic extract","3","['pharmacologic substance']"
"exanthema","3","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"tissue growth","3","['organ or tissue function']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"observation result","2","['finding']"
"may-hegglin anomaly","2","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"bony process","2","['body part, organ, or organ component']"
"fetal growth retardation","2","['pathologic function']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"does skip","2","['biologically active substance', 'finding']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"core specimen","2","['body substance']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"dysostoses","1","['disease or syndrome']"
"hypothyroidism","1","['disease or syndrome']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"congenital rubella syndrome","1","['congenital abnormality', 'disease or syndrome']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"fibronectins","1","['biologically active substance']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"stat protein","1","['biologically active substance', 'finding']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"congenital anomaly of brain","1","['congenital abnormality']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"dna","1","['biologically active substance']"
"fontanelle sunkenness","1","['finding']"
"does talk","1","['finding']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"adenohypophyseal diseases","1","['disease or syndrome']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"cleidocranial dysplasia","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"rickets","1","['disease or syndrome']"
"research outcome","1","['finding']"
"osteogenesis imperfecta","1","['congenital abnormality', 'disease or syndrome']"
"achondroplasia","1","['congenital abnormality', 'disease or syndrome', 'sign or symptom']"
"signs and symptoms","1","['sign or symptom']"
"coloring excipient","1","['pharmacologic substance']"
"anatomic border","1","['body location or region']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"parotid double-band protein","1","['biologically active substance']"
"hydrocephalus","1","['disease or syndrome', 'finding']"
