"food poisoning","16","['injury or poisoning']"
"diarrhea","13","['finding', 'sign or symptom']"
"body fluids","7","['biologically active substance', 'body substance', 'pharmacologic substance']"
"water","7","['inorganic chemical', 'pharmacologic substance']"
"fever","4","['finding']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"physical findings","4","['finding']"
"oral rehydration drugs","2","['inorganic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"enteritis","2","['disease or syndrome']"
"dehydration","2","['disease or syndrome', 'finding']"
"feces","2","['body substance']"
"nausea and vomiting","2","['sign or symptom']"
"nausea control","1","['pharmacologic substance']"
"tissue damage","1","['injury or poisoning']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"sugars","1","['pharmacologic substance']"
"gravidity","1","['finding']"
"sodium bicarbonate","1","['organic chemical', 'pharmacologic substance']"
"muscle cramp","1","['sign or symptom']"
"fish venoms","1","['biologically active substance', 'hazardous or poisonous substance', 'injury or poisoning']"
"bloody diarrhea","1","['disease or syndrome']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"shigella infections","1","['disease or syndrome']"
"neurological observations","1","['finding']"
"salmonella infections","1","['disease or syndrome', 'injury or poisoning']"
"kidney problem","1","['sign or symptom']"
"botulism","1","['injury or poisoning']"
"minerals","1","['inorganic chemical']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"source","1","['finding']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"toxin","1","['biologically active substance', 'hazardous or poisonous substance']"
"diuretics","1","['pharmacologic substance']"
"anus","1","['body part, organ, or organ component', 'disease or syndrome']"
"enteric campylobacteriosis","1","['disease or syndrome']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"lightheadedness","1","['sign or symptom']"
"weakness","1","['sign or symptom']"
"arthritis","1","['disease or syndrome']"
"chicken allergenic extract","1","['pharmacologic substance']"
"does swallow food","1","['finding']"
"antibiotics","1","['antibiotic']"
"hand","1","['body part, organ, or organ component']"
"fish extract","1","['organic chemical']"
"intestines","1","['body part, organ, or organ component']"
"immune system finding","1","['finding']"
"adverse event associated with death","1","['finding']"
"dizziness","1","['finding', 'sign or symptom']"
"veins","1","['body part, organ, or organ component']"
"chills","1","['sign or symptom']"
"abdominal cramps","1","['sign or symptom']"
"diarrhea and cramp","1","['organic chemical', 'pharmacologic substance']"
