"spinocerebellar degeneration"
"heart","6","['body part, organ, or organ component', 'pharmacologic substance']"
"loss of coordination","2","['finding']"
"foot problem","2","['finding']"
"plain x-ray","2","['diagnostic procedure']"
"diabetes","2","['disease or syndrome']"
"adverse event associated with death","2","['finding']"
"muscle weakness","2","['sign or symptom']"
"vertebral column","2","['body part, organ, or organ component']"
"reflex action","2","['finding', 'organ or tissue function']"
"tissue damage","1","['injury or poisoning']"
"physical therapy","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"deafness","1","['disease or syndrome', 'finding']"
"sugars","1","['pharmacologic substance']"
"limb structure","1","['body part, organ, or organ component']"
"frataxin","1","['biologically active substance']"
"eye movements","1","['finding', 'organ or tissue function']"
"electrophysiological studies","1","['diagnostic procedure']"
"chest x-ray","1","['diagnostic procedure']"
"early death","1","['finding']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"dna","1","['biologically active substance']"
"acquired kyphoscoliosis","1","['acquired abnormality', 'congenital abnormality']"
"encounter due to puberty","1","['finding']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"lower extremity","1","['body location or region']"
"head x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"numbness","1","['finding', 'sign or symptom']"
"gait unsteady","1","['finding']"
"impaired glucose tolerance","1","['disease or syndrome']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"toes","1","['body part, organ, or organ component']"
"leg","1","['body location or region']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"physical findings","1","['finding']"
"muscle movement","1","['finding']"
"frequent falls","1","['finding']"
"nerve conduction study","1","['diagnostic procedure']"
"optic nerve","1","['body part, organ, or organ component', 'disease or syndrome']"
"ability to balance","1","['finding']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"trinucleotide repeats","1","['biologically active substance']"
"nerve conduction function","1","['organ or tissue function']"
"absent reflex","1","['finding']"
"uncoordinated movements","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"disease screening","1","['diagnostic procedure']"
"cardiac conduction","1","['organ or tissue function']"
"encounter for genetic screening nec in icd9cm","1","['finding']"
