"ganglioneuroma","6","['neoplastic process']"
"spinal cord","4","['body part, organ, or organ component', 'disease or syndrome']"
"cord - body parts","4","['body part, organ, or organ component', 'disease or syndrome']"
"trachea","2","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"diarrhea","2","['finding', 'sign or symptom']"
"chest+abdomen","2","['body location or region']"
"chest","2","['body location or region', 'disease or syndrome']"
"excision","2","['therapeutic or preventive procedure']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"hair","1","['body part, organ, or organ component']"
"magnetic resonance imaging (mri) of pelvis","1","['diagnostic procedure']"
"neurological observations","1","['finding']"
"procedures on peripheral nervous system","1","['therapeutic or preventive procedure']"
"peripheral nervous system neoplasms","1","['neoplastic process']"
"vertebral column","1","['body part, organ, or organ component']"
"ultrasonography of abdomen","1","['diagnostic procedure']"
"neurofibromatoses","1","['neoplastic process']"
"leg","1","['body location or region']"
"asthenia","1","['sign or symptom']"
"not detected","1","['finding']"
"physical findings","1","['finding']"
"autonomic nerve structure","1","['body part, organ, or organ component']"
"abdomen+pelvis","1","['body part, organ, or organ component']"
"mediastinum","1","['body location or region', 'neoplastic process']"
"paralysed","1","['finding']"
"anatomic site","1","['body location or region']"
"enlarged clitoris","1","['acquired abnormality']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
