"gangrene","20","['disease or syndrome']"
"blood vessel","8","['body part, organ, or organ component', 'finding']"
"injury wounds","5","['body substance', 'injury or poisoning']"
"physical findings","3","['finding']"
"body fluid discharge","2","['body substance', 'therapeutic or preventive procedure']"
"tissue damage","2","['injury or poisoning']"
"malaise","2","['finding', 'sign or symptom']"
"foul-smelling discharge","2","['finding']"
"affected area","2","['finding']"
"fever","2","['finding']"
"flatulence","2","['finding', 'sign or symptom']"
"blood supply aspects","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"diabetes","2","['disease or syndrome']"
"adverse event associated with death","2","['finding']"
"body part","2","['body location or region', 'body part, organ, or organ component']"
"debridement","1","['therapeutic or preventive procedure']"
"coloring excipient","1","['pharmacologic substance']"
"gas gangrene","1","['disease or syndrome']"
"grafting procedure","1","['therapeutic or preventive procedure']"
"hardening of the arteries","1","['finding']"
"gallbladder","1","['body part, organ, or organ component', 'disease or syndrome']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"other changes in skin color","1","['sign or symptom']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"abnormal color","1","['finding']"
"disability","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"transplanted skin","1","['body part, organ, or organ component', 'finding', 'therapeutic or preventive procedure']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"leg","1","['body location or region']"
"feeling of loss of feeling","1","['sign or symptom']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"arteriosclerosis","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"foot","1","['body part, organ, or organ component']"
"excision","1","['therapeutic or preventive procedure']"
"arteriogram","1","['diagnostic procedure']"
"vascular system injuries","1","['injury or poisoning']"
"immune system finding","1","['finding']"
"amputation","1","['therapeutic or preventive procedure']"
"anatomic site","1","['body location or region']"
"antibiotics","1","['antibiotic']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"redness","1","['finding']"
