"gi bleeding"
"lower gi bleeding"
"upper gi bleeding"
"gastrointestinal hemorrhage","11","['pathologic function']"
"feces","8","['body substance']"
"tract","6","['body part, organ, or organ component']"
"intestines small","5","['body part, organ, or organ component', 'disease or syndrome']"
"malignant neoplasms","5","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"melena","5","['pathologic function']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"abdomen scan","2","['diagnostic procedure']"
"esophagogastroduodenoscopy","2","['diagnostic procedure']"
"diverticulum","2","['pathologic function']"
"colon carcinoma","2","['neoplastic process']"
"upper gastrointestinal series","2","['diagnostic procedure']"
"gastric content","2","['body substance']"
"large intestine","2","['body part, organ, or organ component']"
"anemia","2","['disease or syndrome']"
"malignant tumor of colon","2","['neoplastic process']"
"colonic diseases","2","['disease or syndrome']"
"colonoscopy","1","['diagnostic procedure']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"massive blood loss","1","['pathologic function']"
"anal fissure","1","['acquired abnormality']"
"irrigation","1","['therapeutic or preventive procedure']"
"ask question","1","['finding']"
"stomach and small intestine","1","['body part, organ, or organ component']"
"diverticulosis","1","['disease or syndrome']"
"blood vessel abnormal","1","['finding']"
"screening for cancer","1","['diagnostic procedure']"
"duodenal ulcer","1","['disease or syndrome', 'finding']"
"mallory-weiss syndrome","1","['disease or syndrome']"
"gastric ulcer","1","['disease or syndrome', 'finding']"
"finding of platelet count","1","['laboratory or test result']"
"intussusception","1","['disease or syndrome']"
"radiography abdominal","1","['diagnostic procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"small intestine carcinoma","1","['neoplastic process']"
"esophagus and stomach","1","['body part, organ, or organ component']"
"angiogram","1","['diagnostic procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"anus","1","['body part, organ, or organ component', 'disease or syndrome']"
"esophagitis","1","['disease or syndrome', 'finding']"
"x-ray angiography","1","['diagnostic procedure']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"lower gastrointestinal hemorrhage","1","['pathologic function']"
"blood clot","1","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"esophageal varices","1","['acquired abnormality', 'disease or syndrome']"
"capsule endoscopy","1","['diagnostic procedure']"
"upper gastrointestinal hemorrhage","1","['pathologic function']"
"physical findings","1","['finding']"
"rectum","1","['body part, organ, or organ component', 'disease or syndrome']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"structure of organ capsule","1","['body part, organ, or organ component']"
"ulcerative colitis","1","['disease or syndrome']"
"gastric lavage","1","['therapeutic or preventive procedure']"
"varicosity","1","['disease or syndrome']"
"angiodysplasia","1","['disease or syndrome']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"stomach carcinoma","1","['neoplastic process']"
"source","1","['finding']"
"veins","1","['body part, organ, or organ component']"
"plain x-ray","1","['diagnostic procedure']"
"hemorrhoids","1","['acquired abnormality', 'finding']"
