"chronic nephritis"
"crescentic glomerulonephritis"
"glomerular disease"
"glomerulonephritis - chronic"
"glomerulonephritis - crescentic"
"necrotizing glomerulonephritis"
"rapidly progressive glomerulonephritis"
"kidney","18","['body part, organ, or organ component']"
"glomerulonephritis","14","['disease or syndrome']"
"physical findings","6","['finding']"
"proteins","4","['biologically active substance']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"support - dental","3","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"renal function","3","['organ or tissue function']"
"anti-inflammatory agents non-steroidal","3","['pharmacologic substance']"
"intravenous pyelogram","3","['diagnostic procedure']"
"henoch-schoenlein purpura","2","['biologically active substance', 'disease or syndrome']"
"malaise","2","['finding', 'sign or symptom']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"inflammation","2","['pathologic function']"
"immune system finding","2","['finding']"
"heart","2","['body part, organ, or organ component', 'pharmacologic substance']"
"hypertensive disease","2","['biologically active substance', 'disease or syndrome', 'finding']"
"swelling or edema","2","['finding']"
"fluid overload","2","['disease or syndrome', 'pathologic function']"
"pulmonary edema","1","['disease or syndrome']"
"pain relieve brand of acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"urinary tract","1","['body part, organ, or organ component']"
"hyperkalemia","1","['finding']"
"hematuria present","1","['laboratory or test result']"
"excessive urination","1","['sign or symptom']"
"plasma","1","['body substance']"
"peptidyl-dipeptidase a","1","['enzyme', 'therapeutic or preventive procedure']"
"transplanted kidney","1","['body part, organ, or organ component', 'finding', 'therapeutic or preventive procedure']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"urine creatinine level finding","1","['laboratory or test result']"
"polyarteritis","1","['disease or syndrome']"
"anemia","1","['disease or syndrome']"
"angiotensin-converting enzyme inhibitors","1","['pharmacologic substance']"
"angiotensin receptor antagonists","1","['pharmacologic substance']"
"respiratory sounds","1","['clinical attribute']"
"urine protein","1","['biologically active substance']"
"iga glomerulonephritis","1","['disease or syndrome', 'finding']"
"cardiopulmonary","1","['body location or region']"
"ultrasonography","1","['diagnostic procedure']"
"organic solvent product","1","['organic chemical']"
"dyspnea","1","['sign or symptom']"
"facial edema","1","['pathologic function']"
"mercury","1","['hazardous or poisonous substance']"
"leg","1","['body location or region']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"anorexia","1","['disease or syndrome', 'finding']"
"urine specific gravity level","1","['laboratory or test result']"
"r.b.c","1","['organic chemical', 'pharmacologic substance']"
"chronic kidney diseases","1","['disease or syndrome']"
"disease susceptibility","1","['clinical attribute']"
"deterioration of status","1","['finding']"
"echography of kidney","1","['diagnostic procedure']"
"dark urine","1","['sign or symptom']"
"streptococcal infections","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"total protein result","1","['laboratory or test result']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"plasmapheresis","1","['therapeutic or preventive procedure']"
"vomitus","1","['body substance', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"osmolality","1","['clinical attribute']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"polyneuropathy","1","['disease or syndrome']"
"vasculitis","1","['disease or syndrome', 'finding']"
"rapidly progressive glomerulonephritis","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"ultrasound chest","1","['diagnostic procedure']"
"abnormal result","1","['finding']"
"malignant hypertension","1","['disease or syndrome']"
"lupus nephritis","1","['disease or syndrome']"
"myalgia","1","['finding', 'sign or symptom']"
"pulmonary failure","1","['disease or syndrome']"
"uric acid","1","['biologically active substance', 'organic chemical']"
"tissue damage","1","['injury or poisoning']"
"respiratory air","1","['body substance']"
"renal scan and radioisotope function study","1","['diagnostic procedure']"
"abscess","1","['disease or syndrome', 'pathologic function']"
"quarter of the udder","1","['body part, organ, or organ component']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"diarrhea","1","['finding', 'sign or symptom']"
"chest x-ray","1","['diagnostic procedure']"
"abnormal urine test result","1","['finding']"
"transplantation","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"segmental glomerulosclerosis","1","['disease or syndrome']"
"fever","1","['finding']"
"chronic glomerulonephritis","1","['disease or syndrome']"
"abdomen","1","['body location or region']"
"fatigue","1","['sign or symptom']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"enzymes","1","['enzyme', 'organic chemical']"
"face","1","['body location or region', 'disease or syndrome']"
"feces","1","['body substance']"
"focal glomerulosclerosis","1","['disease or syndrome']"
"amyloidosis","1","['disease or syndrome']"
"chronic disease","1","['disease or syndrome']"
