"simple goiter"
"goiter","23","['disease or syndrome']"
"thyroid gland","14","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"endemic goiter","5","['disease or syndrome']"
"nodule","4","['acquired abnormality', 'body part, organ, or organ component']"
"hypothyroidism","3","['disease or syndrome']"
"toxic nodular goiter","2","['disease or syndrome']"
"swelling","2","['finding', 'pathologic function']"
"ultrasonography","2","['diagnostic procedure']"
"radioactive iodine","2","['hazardous or poisonous substance', 'pharmacologic substance']"
"sodium chloride dietary","2","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"thyrotropin","2","['pharmacologic substance']"
"thyroxine","2","['body part, organ, or organ component', 'finding', 'organic chemical', 'pharmacologic substance']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"very large","2","['finding']"
"trachea","1","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"female","1","['finding']"
"tissue growth","1","['organ or tissue function']"
"large neck","1","['finding']"
"dyspnea","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"thyroid carcinoma","1","['neoplastic process']"
"hoarseness","1","['sign or symptom']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"structure of vein of neck","1","['body part, organ, or organ component']"
"lithium","1","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"today","1","['antibiotic', 'organic chemical']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"mass of neck","1","['finding']"
"hyperthyroidism","1","['disease or syndrome']"
"thyroidectomy","1","['therapeutic or preventive procedure']"
"hypertrophy","1","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"mass of body structure","1","['finding']"
"dietary potassium","1","['inorganic chemical']"
"veins","1","['body part, organ, or organ component']"
"iodine solution","1","['pharmacologic substance']"
