"anti-glomerular basement membrane antibody disease"
"glomerulonephritis - pulmonary hemorrhage"
"pulmonary renal syndrome"
"rapidly progressive glomerulonephritis with pulmonary hemorrhage"
"kidney","18","['body part, organ, or organ component']"
"lung","9","['body part, organ, or organ component', 'disease or syndrome']"
"proteins","4","['biologically active substance']"
"immune system finding","4","['finding']"
"tissue damage","3","['injury or poisoning']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"physical findings","3","['finding']"
"transplantation","3","['therapeutic or preventive procedure']"
"inflammation","2","['pathologic function']"
"plasma","2","['body substance']"
"air sacs","2","['body part, organ, or organ component']"
"acute insulin response","2","['finding']"
"renal dialysis","2","['therapeutic or preventive procedure']"
"transplanted kidney","2","['body part, organ, or organ component', 'finding', 'therapeutic or preventive procedure']"
"angiotensin-converting enzyme inhibitors","2","['pharmacologic substance']"
"kidney failure chronic","2","['disease or syndrome', 'pharmacologic substance']"
"spastic ataxia charlevoix-saguenay type","2","['disease or syndrome']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pulmonary hemorrhage","2","['finding', 'pathologic function']"
"hydrocarbons","1","['organic chemical']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"burning sensation","1","['sign or symptom']"
"cardiopulmonary","1","['body location or region']"
"collagen","1","['biologically active substance']"
"angiotensin receptor antagonists","1","['pharmacologic substance']"
"swelling or edema","1","['finding']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"anorexia","1","['disease or syndrome', 'finding']"
"pallor","1","['finding', 'sign or symptom']"
"plasmapheresis","1","['therapeutic or preventive procedure']"
"arteries","1","['body part, organ, or organ component']"
"respiratory sounds","1","['clinical attribute']"
"mild adverse event","1","['finding']"
"other drugs","1","['pharmacologic substance']"
"skin swelling","1","['finding']"
"chest x-ray","1","['diagnostic procedure']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"dry cough","1","['sign or symptom']"
"renal function","1","['organ or tissue function']"
"dyspnea","1","['sign or symptom']"
"peptidyl-dipeptidase a","1","['enzyme', 'therapeutic or preventive procedure']"
"fluid overload","1","['disease or syndrome', 'pathologic function']"
"observation of attack","1","['finding']"
"respiratory air","1","['body substance']"
"prednisone","1","['pharmacologic substance']"
"esthesia","1","['finding', 'organ or tissue function']"
"leg","1","['body location or region']"
"weakness","1","['sign or symptom']"
"coughing","1","['finding', 'sign or symptom']"
"serum creatinine level","1","['laboratory or test result']"
"flatulence","1","['finding', 'sign or symptom']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"glomerular basement membrane","1","['body part, organ, or organ component', 'neoplastic process']"
"rapidly progressive glomerulonephritis","1","['disease or syndrome']"
"fatigue","1","['sign or symptom']"
"enzymes","1","['enzyme', 'organic chemical']"
"blood gas","1","['organ or tissue function']"
"protein diet","1","['therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"kidney biopsy","1","['diagnostic procedure']"
"lung diseases","1","['disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"red blood cells blood product","1","['pharmacologic substance']"
"blood urea nitrogen","1","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"plain x-ray","1","['diagnostic procedure']"
"nausea and vomiting","1","['sign or symptom']"
