"graft-vs-host disease","15","['disease or syndrome', 'therapeutic or preventive procedure']"
"transplantation","14","['therapeutic or preventive procedure']"
"skeletal bone","6","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"exanthema","4","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"stem of organ","3","['body part, organ, or organ component']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"chronic graft versus host disease","3","['disease or syndrome']"
"stem cell transplant","2","['therapeutic or preventive procedure']"
"immune system finding","2","['finding']"
"muscle cramp","1","['sign or symptom']"
"nausea vomiting and diarrhea","1","['sign or symptom']"
"respiratory air","1","['body substance']"
"very low","1","['finding']"
"muscle fatigue","1","['organ or tissue function']"
"icterus","1","['finding', 'pathologic function']"
"encounter due to being a donor","1","['finding']"
"redness","1","['finding']"
"body weight decreased","1","['finding']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"bone marrow transplantation","1","['therapeutic or preventive procedure']"
"liver damage","1","['pathologic function']"
"dyspnea","1","['sign or symptom']"
"treated with","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"kidney","1","['body part, organ, or organ component']"
"body organ structure","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"tract","1","['body part, organ, or organ component']"
"dryness of eye","1","['disease or syndrome', 'sign or symptom']"
"vaginal dryness","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"acute gvh disease","1","['disease or syndrome']"
"muscle weakness","1","['sign or symptom']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"xerostomia","1","['sign or symptom']"
"prednisone","1","['pharmacologic substance']"
"mild adverse event","1","['finding']"
