"bubo"
"inguinal lymphadenopathy"
"localized lymphadenopathy-groin"
"lump in the groin"
"lymphadenopathy - groin"
"inguinal region","8","['body location or region']"
"mass of body structure","4","['finding']"
"inguinal mass","3","['sign or symptom']"
"swelling","2","['finding', 'pathologic function']"
"lymph nodes","2","['body part, organ, or organ component']"
"leg","2","['body location or region']"
"sexually transmitted diseases","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"liver function","1","['organ or tissue function']"
"anatomic node","1","['body part, organ, or organ component']"
"gland","1","['body part, organ, or organ component']"
"genital herpes","1","['disease or syndrome']"
"cyst benign","1","['disease or syndrome']"
"lower abdomen","1","['body location or region']"
"infection of kidney","1","['disease or syndrome']"
"syphilis","1","['disease or syndrome']"
"antineoplastic agents","1","['organic chemical', 'pharmacologic substance']"
"trauma/injury problem","1","['injury or poisoning']"
"renal function","1","['organ or tissue function']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"liver+spleen","1","['body part, organ, or organ component']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"gonorrhea","1","['disease or syndrome']"
"lipoma","1","['neoplastic process']"
